neighborhood,year_month,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Bernal Heights,2025-04,7,1,2,1,3,0,1.8571428571428572
Bernal Heights,2025-05,6,3,2,0,1,0,4.333333333333333
Bernal Heights,2025-06,8,1,5,1,1,0,1.375
Bernal Heights,2025-07,6,1,0,2,3,0,3.5
Bernal Heights,2025-08,4,1,3,0,0,0,2.75
Bernal Heights,2025-09,3,0,1,1,1,0,1.3333333333333333
Bernal Heights,2025-10,6,0,3,0,3,0,1.0
Bernal Heights,2025-11,3,0,2,0,1,0,3.6666666666666665
Bernal Heights,2025-12,13,3,5,3,2,0,3.3076923076923075
Castro/Upper Market,2024-01,4,2,0,2,0,0,6.0
Castro/Upper Market,2024-02,12,0,8,2,2,0,1.4166666666666667
Castro/Upper Market,2024-03,6,1,3,0,2,0,1.5
Castro/Upper Market,2024-04,4,0,2,2,0,0,1.75
Castro/Upper Market,2024-05,6,1,4,0,1,0,1.3333333333333333
Castro/Upper Market,2024-06,3,1,0,2,0,0,3.3333333333333335
Castro/Upper Market,2024-07,5,1,1,2,1,0,3.6
Castro/Upper Market,2024-08,7,4,1,1,1,0,4.0
Castro/Upper Market,2024-09,8,0,3,2,3,0,1.5
Castro/Upper Market,2024-10,4,0,0,1,3,0,2.25
Castro/Upper Market,2024-11,5,1,2,0,2,0,2.8
Castro/Upper Market,2024-12,5,2,1,1,1,0,2.6
Castro/Upper Market,2025-01,4,0,1,1,2,0,1.5
Castro/Upper Market,2025-02,6,0,6,0,0,0,1.1666666666666667
Castro/Upper Market,2025-03,3,0,1,1,1,0,2.0
Castro/Upper Market,2025-04,4,0,1,3,0,0,2.25
Castro/Upper Market,2025-05,5,1,2,0,2,0,3.2
Castro/Upper Market,2025-06,7,0,4,3,0,0,2.0
Castro/Upper Market,2025-07,8,1,3,3,1,0,3.0
Castro/Upper Market,2025-08,6,1,5,0,0,0,3.5
Castro/Upper Market,2025-09,7,2,2,1,2,0,3.5714285714285716
Castro/Upper Market,2025-10,7,0,2,1,4,0,1.2857142857142858
Castro/Upper Market,2025-11,5,1,1,3,0,0,3.0
Castro/Upper Market,2025-12,8,0,4,1,3,0,1.5
Chinatown,2024-01,1,0,0,0,1,0,2.0
Chinatown,2024-02,1,0,0,0,1,0,6.0
Chinatown,2024-03,1,0,0,0,1,0,1.0
Chinatown,2024-04,6,1,0,1,4,0,1.3333333333333333
Chinatown,2024-05,2,0,0,1,1,0,1.5
Chinatown,2024-06,5,2,2,0,1,0,4.0
Chinatown,2024-07,2,2,0,0,0,0,9.0
Chinatown,2024-08,1,0,1,0,0,0,1.0
Chinatown,2024-09,2,1,0,0,1,0,5.0
Chinatown,2024-10,2,0,0,1,1,0,1.5
Chinatown,2024-11,4,0,1,0,3,0,2.0
Chinatown,2025-01,1,0,0,0,1,0,1.0
Chinatown,2025-02,3,2,0,0,1,0,4.333333333333333
Chinatown,2025-03,2,1,0,0,1,0,6.0
Chinatown,2025-04,1,0,0,0,1,0,3.0
Chinatown,2025-05,1,0,0,1,0,0,3.0
Chinatown,2025-06,4,1,0,2,1,0,4.0
Chinatown,2025-07,3,0,0,2,1,0,2.6666666666666665
Chinatown,2025-08,1,0,0,1,0,0,3.0
Chinatown,2025-09,1,0,0,0,1,0,4.0
Chinatown,2025-10,6,3,0,0,3,0,5.833333333333333
Chinatown,2025-11,5,0,1,1,3,0,1.8
Chinatown,2025-12,3,1,0,1,1,0,6.666666666666667
Excelsior,2024-01,6,5,1,0,0,0,6.5
Excelsior,2024-02,14,2,9,3,0,0,1.8571428571428572
Excelsior,2024-03,8,1,2,5,0,0,2.875
Excelsior,2024-04,3,1,0,2,0,0,4.0
Excelsior,2024-05,7,0,4,3,0,0,1.2857142857142858
Excelsior,2024-06,5,0,4,1,0,0,1.0
Excelsior,2024-07,5,1,4,0,0,0,2.6
Excelsior,2024-08,1,0,0,1,0,0,2.0
Excelsior,2024-09,7,1,3,2,1,0,2.5714285714285716
Excelsior,2024-10,6,2,2,1,1,0,4.0
Excelsior,2024-11,5,1,3,0,1,0,2.8
Excelsior,2024-12,4,0,3,1,0,0,2.0
Excelsior,2025-01,5,0,3,2,0,0,1.2
Excelsior,2025-02,8,1,6,0,1,0,2.125
Excelsior,2025-03,8,2,6,0,0,0,4.125
Excelsior,2025-04,8,1,5,1,1,0,2.125
Excelsior,2025-05,8,3,5,0,0,0,3.75
Excelsior,2025-06,5,1,3,0,1,0,3.0
Excelsior,2025-07,10,0,8,1,1,0,1.1
Excelsior,2025-08,6,0,5,1,0,0,1.0
Excelsior,2025-09,2,0,2,0,0,0,1.0
Excelsior,2025-10,2,0,2,0,0,0,1.0
Excelsior,2025-11,7,1,5,0,1,0,2.2857142857142856
Excelsior,2025-12,5,1,3,1,0,0,2.6
Financial District/South Beach,2024-01,3,0,1,0,2,0,1.0
Financial District/South Beach,2024-02,10,3,2,2,3,0,3.9
Financial District/South Beach,2024-03,5,0,1,1,3,0,2.4
Financial District/South Beach,2024-04,8,4,1,1,2,0,4.125
Financial District/South Beach,2024-05,9,1,0,1,7,0,2.5555555555555554
Financial District/South Beach,2024-06,9,2,3,0,4,0,2.111111111111111
Financial District/South Beach,2024-07,6,2,1,0,3,0,2.8333333333333335
Financial District/South Beach,2024-08,5,1,1,1,2,0,1.4
Financial District/South Beach,2024-09,6,4,0,1,1,0,5.166666666666667
Financial District/South Beach,2024-10,2,1,0,0,1,0,7.5
Financial District/South Beach,2024-12,5,0,0,2,3,0,2.2
Financial District/South Beach,2025-01,6,1,0,1,4,0,1.3333333333333333
Financial District/South Beach,2025-02,5,1,0,1,3,0,3.8
Financial District/South Beach,2025-03,4,1,1,2,0,0,5.25
Financial District/South Beach,2025-04,7,2,1,1,3,0,1.8571428571428572
Financial District/South Beach,2025-05,3,1,0,1,1,0,4.666666666666667
Financial District/South Beach,2025-06,10,2,3,1,4,0,4.5
Financial District/South Beach,2025-07,5,1,1,1,2,0,2.4
Financial District/South Beach,2025-08,5,1,1,0,3,0,2.6
Financial District/South Beach,2025-09,6,1,1,2,2,0,4.0
Financial District/South Beach,2025-10,3,0,1,0,2,0,1.6666666666666667
Financial District/South Beach,2025-11,2,0,1,1,0,0,2.0
Financial District/South Beach,2025-12,7,1,2,0,4,0,2.4285714285714284
Glen Park,2024-01,3,0,2,1,0,0,1.3333333333333333
Glen Park,2024-02,5,1,2,0,2,0,2.6
Glen Park,2024-03,1,0,1,0,0,0,1.0
Glen Park,2024-04,1,0,1,0,0,0,1.0
Glen Park,2024-05,3,0,0,1,2,0,1.3333333333333333
Glen Park,2024-06,2,0,0,0,2,0,2.5
Glen Park,2024-07,4,0,2,0,2,0,1.0
Glen Park,2024-08,1,0,0,1,0,0,3.0
Glen Park,2024-09,3,0,2,1,0,0,1.3333333333333333
Glen Park,2024-10,3,0,2,0,1,0,1.0
Glen Park,2024-11,2,1,0,1,0,0,6.0
Glen Park,2025-01,1,1,0,0,0,0,8.0
Glen Park,2025-02,3,0,0,3,0,0,2.3333333333333335
Glen Park,2025-03,1,0,1,0,0,0,1.0
Glen Park,2025-04,3,1,1,0,1,0,3.3333333333333335
Glen Park,2025-05,1,0,0,0,1,0,3.0
Glen Park,2025-06,3,0,1,0,2,0,1.0
Glen Park,2025-08,2,0,1,0,1,0,1.0
Glen Park,2025-10,3,0,3,0,0,0,1.0
Glen Park,2025-12,1,0,1,0,0,0,1.0
Golden Gate Park,2024-01,1,0,0,0,1,0,1.0
Golden Gate Park,2024-02,2,0,1,0,1,0,1.0
Golden Gate Park,2024-03,3,1,1,0,1,0,1.0
Golden Gate Park,2024-05,2,0,1,0,1,0,1.0
Golden Gate Park,2024-08,2,1,0,1,0,0,1.0
Golden Gate Park,2024-09,1,0,0,0,1,0,1.0
Golden Gate Park,2024-11,3,0,3,0,0,0,1.0
Golden Gate Park,2024-12,5,0,3,0,2,0,1.4
Golden Gate Park,2025-02,2,1,0,0,1,0,1.0
Golden Gate Park,2025-03,3,1,0,0,2,0,1.0
Golden Gate Park,2025-04,2,0,1,0,1,0,1.0
Golden Gate Park,2025-05,1,0,1,0,0,0,1.0
Golden Gate Park,2025-07,3,1,1,0,1,0,2.0
Golden Gate Park,2025-08,1,0,0,1,0,0,1.0
Golden Gate Park,2025-09,3,0,2,1,0,0,1.6666666666666667
Golden Gate Park,2025-10,1,0,1,0,0,0,1.0
Golden Gate Park,2025-11,1,0,1,0,0,0,1.0
Golden Gate Park,2025-12,2,0,2,0,0,0,1.0
Haight Ashbury,2024-01,3,0,1,1,1,0,4.0
Haight Ashbury,2024-02,4,1,3,0,0,0,3.0
