neighborhood,year_month,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Noe Valley,2025-04,8,0,6,1,1,0,1.125
Noe Valley,2025-05,13,2,5,4,2,0,3.3846153846153846
Noe Valley,2025-06,12,0,11,0,1,0,1.0
Noe Valley,2025-07,8,3,5,0,0,0,3.875
Noe Valley,2025-08,6,0,5,0,1,0,1.0
Noe Valley,2025-09,3,0,2,1,0,0,1.0
Noe Valley,2025-10,5,0,1,3,1,0,1.8
Noe Valley,2025-11,5,0,2,2,1,0,1.0
Noe Valley,2025-12,8,0,5,3,0,0,2.375
North Beach,2024-01,3,0,0,1,2,0,2.3333333333333335
North Beach,2024-02,5,1,4,0,0,0,3.2
North Beach,2024-03,3,0,0,1,2,0,2.3333333333333335
North Beach,2024-05,1,0,0,0,1,0,1.0
North Beach,2024-06,8,2,0,3,3,0,1.875
North Beach,2024-07,3,0,0,0,3,0,4.333333333333333
North Beach,2024-08,4,0,1,2,1,0,3.0
North Beach,2024-09,2,0,0,0,2,0,1.0
North Beach,2024-10,3,0,0,1,2,0,1.0
North Beach,2024-11,3,1,1,0,1,0,3.6666666666666665
North Beach,2024-12,1,0,0,0,1,0,1.0
North Beach,2025-01,3,0,1,0,2,0,3.0
North Beach,2025-02,4,1,0,0,3,0,3.75
North Beach,2025-03,5,0,1,3,1,0,1.8
North Beach,2025-04,2,1,0,0,1,0,4.5
North Beach,2025-05,1,0,0,0,1,0,3.0
North Beach,2025-06,2,0,0,0,2,0,3.5
North Beach,2025-07,3,0,0,1,2,0,2.3333333333333335
North Beach,2025-08,4,1,0,2,1,0,2.0
North Beach,2025-10,1,0,0,0,1,0,1.0
North Beach,2025-11,3,0,0,0,3,0,1.6666666666666667
North Beach,2025-12,1,0,0,1,0,0,3.0
Oceanview/Merced/Ingleside,2024-01,3,0,1,1,1,0,1.3333333333333333
Oceanview/Merced/Ingleside,2024-02,17,1,15,0,1,0,1.7058823529411764
Oceanview/Merced/Ingleside,2024-03,4,0,4,0,0,0,1.0
Oceanview/Merced/Ingleside,2024-04,3,0,2,1,0,0,1.6666666666666667
Oceanview/Merced/Ingleside,2024-05,6,3,3,0,0,0,4.833333333333333
Oceanview/Merced/Ingleside,2024-06,5,2,2,0,1,0,4.6
Oceanview/Merced/Ingleside,2024-07,3,1,1,1,0,0,4.0
Oceanview/Merced/Ingleside,2024-08,5,1,1,2,1,0,3.2
Oceanview/Merced/Ingleside,2024-09,3,0,3,0,0,0,1.6666666666666667
Oceanview/Merced/Ingleside,2024-10,2,0,1,0,1,0,2.0
Oceanview/Merced/Ingleside,2024-11,5,1,3,0,1,0,4.0
Oceanview/Merced/Ingleside,2024-12,4,0,3,1,0,0,1.25
Oceanview/Merced/Ingleside,2025-01,2,1,1,0,0,0,1.5
Oceanview/Merced/Ingleside,2025-02,5,1,4,0,0,0,2.6
Oceanview/Merced/Ingleside,2025-03,5,0,2,1,2,0,1.4
Oceanview/Merced/Ingleside,2025-04,3,0,3,0,0,0,1.0
Oceanview/Merced/Ingleside,2025-05,6,0,4,1,1,0,1.3333333333333333
Oceanview/Merced/Ingleside,2025-06,5,1,4,0,0,0,3.2
Oceanview/Merced/Ingleside,2025-07,3,0,1,0,2,0,1.0
Oceanview/Merced/Ingleside,2025-08,6,1,1,0,4,0,2.8333333333333335
Oceanview/Merced/Ingleside,2025-10,1,0,1,0,0,0,1.0
Oceanview/Merced/Ingleside,2025-11,6,0,4,2,0,0,1.0
Oceanview/Merced/Ingleside,2025-12,7,0,5,2,0,0,1.1428571428571428
Outer Mission,2024-01,3,1,0,0,2,0,1.0
Outer Mission,2024-02,11,1,9,0,1,0,1.8181818181818181
Outer Mission,2024-03,6,0,3,0,3,0,1.6666666666666667
Outer Mission,2024-04,1,0,1,0,0,0,1.0
Outer Mission,2024-05,3,0,0,1,2,0,2.3333333333333335
Outer Mission,2024-06,4,0,2,2,0,0,1.75
Outer Mission,2024-07,4,0,0,1,3,0,1.5
Outer Mission,2024-08,4,1,1,0,2,0,3.25
Outer Mission,2024-09,1,0,1,0,0,0,1.0
Outer Mission,2024-10,7,3,1,1,2,0,3.7142857142857144
Outer Mission,2024-11,4,0,2,0,2,0,1.5
Outer Mission,2024-12,3,1,2,0,0,0,6.0
Outer Mission,2025-01,1,0,0,0,1,0,1.0
Outer Mission,2025-02,12,1,9,2,0,0,2.5833333333333335
Outer Mission,2025-03,1,0,1,0,0,0,1.0
Outer Mission,2025-04,3,0,2,0,1,0,1.6666666666666667
Outer Mission,2025-05,3,0,2,0,1,0,1.0
Outer Mission,2025-06,12,2,10,0,0,0,2.5833333333333335
Outer Mission,2025-07,7,1,2,3,1,0,2.0
Outer Mission,2025-08,4,2,2,0,0,0,1.5
Outer Mission,2025-11,4,0,2,0,2,0,1.5
Outer Mission,2025-12,7,3,3,1,0,0,4.714285714285714
Outer Richmond,2024-01,17,2,11,0,4,0,1.1764705882352942
Outer Richmond,2024-02,26,0,21,4,1,0,1.1923076923076923
Outer Richmond,2024-03,8,0,5,0,3,0,1.0
Outer Richmond,2024-04,14,2,7,3,2,0,2.7142857142857144
Outer Richmond,2024-05,13,0,6,3,4,0,1.3076923076923077
Outer Richmond,2024-06,7,2,3,1,1,0,3.5714285714285716
Outer Richmond,2024-07,7,1,2,4,0,0,2.2857142857142856
Outer Richmond,2024-08,3,1,0,1,1,0,3.6666666666666665
Outer Richmond,2024-09,7,0,4,1,2,0,1.2857142857142858
Outer Richmond,2024-10,7,2,3,1,1,0,3.7142857142857144
Outer Richmond,2024-11,7,1,5,0,1,0,2.142857142857143
Outer Richmond,2024-12,17,1,13,1,2,0,1.7647058823529411
Outer Richmond,2025-01,10,0,7,3,0,0,1.2
Outer Richmond,2025-02,15,0,15,0,0,0,1.0
Outer Richmond,2025-03,18,3,11,2,2,0,3.6666666666666665
Outer Richmond,2025-04,6,2,2,1,1,0,4.166666666666667
Outer Richmond,2025-05,15,3,7,1,4,0,2.3333333333333335
Outer Richmond,2025-06,24,3,18,0,3,0,1.7083333333333333
Outer Richmond,2025-07,9,3,3,0,3,2,2.7777777777777777
Outer Richmond,2025-08,17,3,6,2,6,0,2.5294117647058822
Outer Richmond,2025-09,11,0,5,4,2,0,1.3636363636363635
Outer Richmond,2025-10,9,1,5,2,1,0,2.2222222222222223
Outer Richmond,2025-11,8,0,6,2,0,0,1.375
Outer Richmond,2025-12,13,0,9,1,3,0,1.2307692307692308
Pacific Heights,2024-01,8,2,1,2,3,0,1.375
Pacific Heights,2024-02,9,0,5,2,2,0,1.8888888888888888
Pacific Heights,2024-03,4,0,1,3,0,0,2.5
Pacific Heights,2024-04,10,0,4,6,0,0,2.0
Pacific Heights,2024-05,4,0,2,0,2,0,1.0
Pacific Heights,2024-06,5,1,1,1,2,0,2.8
Pacific Heights,2024-07,1,0,0,0,1,0,1.0
Pacific Heights,2024-08,4,0,1,0,3,0,1.0
Pacific Heights,2024-09,3,0,0,0,3,0,1.0
Pacific Heights,2024-10,2,0,0,1,1,0,1.5
Pacific Heights,2024-11,4,0,0,1,3,0,2.0
Pacific Heights,2024-12,5,0,2,2,1,0,2.8
Pacific Heights,2025-01,3,0,1,1,1,0,2.3333333333333335
Pacific Heights,2025-02,8,1,3,2,2,0,2.75
Pacific Heights,2025-03,8,0,3,1,4,0,1.25
Pacific Heights,2025-04,6,0,1,4,1,0,2.0
Pacific Heights,2025-05,4,0,2,0,2,0,2.75
Pacific Heights,2025-06,6,2,1,1,2,0,2.1666666666666665
Pacific Heights,2025-07,1,0,0,1,0,0,1.0
Pacific Heights,2025-08,1,0,0,0,1,0,4.0
Pacific Heights,2025-09,6,0,3,1,2,0,1.3333333333333333
Pacific Heights,2025-10,8,2,2,3,1,0,2.5
Pacific Heights,2025-11,1,0,1,0,0,0,1.0
Pacific Heights,2025-12,3,1,1,0,1,0,2.3333333333333335
Portola,2024-01,1,1,0,0,0,0,9.0
Portola,2024-02,4,0,4,0,0,0,3.5
Portola,2024-04,2,0,1,0,1,0,1.0
Portola,2024-05,3,0,1,1,1,0,1.3333333333333333
Portola,2024-06,3,0,2,0,1,0,1.0
Portola,2024-07,1,0,1,0,0,0,1.0
Portola,2024-08,4,1,2,0,1,0,3.0
Portola,2024-09,1,0,0,1,0,0,3.0
Portola,2024-10,2,0,1,1,0,0,1.5
Portola,2024-11,3,0,2,0,1,0,1.0
Portola,2024-12,3,0,3,0,0,0,1.0
Portola,2025-01,2,0,1,1,0,0,1.5
Portola,2025-02,3,0,3,0,0,0,1.0
Portola,2025-03,2,1,1,0,0,0,1.0
Portola,2025-05,3,2,0,0,1,0,6.0
Portola,2025-06,7,0,6,1,0,0,1.2857142857142858
Portola,2025-07,1,0,1,0,0,0,1.0
Portola,2025-08,5,1,3,1,0,0,1.6
Portola,2025-09,1,0,1,0,0,0,1.0
Portola,2025-10,3,0,2,0,1,0,1.0
Portola,2025-11,1,0,0,1,0,0,1.0
Portola,2025-12,2,0,2,0,0,0,1.0
Potrero Hill,2024-01,10,1,5,1,3,0,2.2
Potrero Hill,2024-02,4,0,4,0,0,0,1.25
Potrero Hill,2024-03,7,1,3,2,1,0,2.0
Potrero Hill,2024-04,6,1,3,0,2,0,4.166666666666667
Potrero Hill,2024-05,1,0,1,0,0,0,1.0
Potrero Hill,2024-06,4,0,3,0,1,0,1.5
Potrero Hill,2024-07,7,0,0,2,5,0,1.8571428571428572
Potrero Hill,2024-08,6,1,3,1,1,0,3.8333333333333335
Potrero Hill,2024-09,6,3,1,2,0,0,5.833333333333333
Potrero Hill,2024-10,6,1,0,2,3,0,3.3333333333333335
Potrero Hill,2024-11,11,1,6,2,2,0,1.6363636363636365
Potrero Hill,2024-12,7,2,2,3,0,0,5.142857142857143
Potrero Hill,2025-01,4,2,2,0,0,0,5.25
Potrero Hill,2025-02,4,1,2,0,1,0,3.25
Potrero Hill,2025-03,7,1,3,1,2,0,3.4285714285714284
Potrero Hill,2025-04,4,0,1,2,1,0,2.25
Potrero Hill,2025-05,5,1,2,1,1,0,3.4
Potrero Hill,2025-06,2,0,0,2,0,0,2.0
Potrero Hill,2025-07,4,0,3,0,1,0,1.0
Potrero Hill,2025-08,8,3,3,1,1,0,4.5
Potrero Hill,2025-09,3,1,0,1,1,0,2.0
Potrero Hill,2025-10,5,0,2,1,2,0,1.4
Potrero Hill,2025-11,4,1,1,0,2,0,3.0
Potrero Hill,2025-12,4,0,2,1,1,0,1.75
Presidio,2024-01,3,1,1,1,0,0,1.6666666666666667
Presidio,2024-02,2,1,0,0,1,0,5.5
Presidio,2024-05,1,1,0,0,0,0,8.0
Presidio,2024-09,1,0,0,0,1,0,2.0
Presidio,2024-11,1,0,0,1,0,0,3.0
Presidio,2025-01,1,0,0,1,0,0,3.0
Presidio,2025-07,1,1,0,0,0,0,10.0
Presidio,2025-09,2,2,0,0,0,0,1.5
Presidio,2025-10,1,0,1,0,0,0,1.0
Presidio,2025-12,1,0,1,0,0,0,1.0
Presidio Heights,2024-01,2,0,1,0,1,0,1.0
Presidio Heights,2024-02,3,0,0,1,2,0,1.0
Presidio Heights,2024-03,3,0,1,0,2,0,1.0
Presidio Heights,2024-04,7,4,0,3,0,0,11.0
Presidio Heights,2024-05,3,0,1,1,1,0,1.6666666666666667
Presidio Heights,2024-06,3,0,1,0,2,0,2.0
Presidio Heights,2024-07,2,0,1,1,0,0,1.5
Presidio Heights,2024-11,1,0,1,0,0,0,8.0
Presidio Heights,2024-12,4,1,2,0,1,0,3.25
Presidio Heights,2025-01,1,0,1,0,0,0,1.0
Presidio Heights,2025-02,2,0,1,0,1,0,1.0
Presidio Heights,2025-03,2,0,0,2,0,0,3.0
Presidio Heights,2025-04,4,1,1,0,2,0,1.25
Presidio Heights,2025-05,4,0,1,3,0,0,1.75
Presidio Heights,2025-06,1,1,0,0,0,0,10.0
Presidio Heights,2025-07,2,0,2,0,0,0,1.0
Presidio Heights,2025-08,3,1,1,1,0,0,4.333333333333333
Presidio Heights,2025-09,3,0,2,1,0,0,2.3333333333333335
Presidio Heights,2025-10,1,0,1,0,0,0,1.0
Presidio Heights,2025-11,3,2,0,1,0,0,5.0
Presidio Heights,2025-12,1,0,1,0,0,0,1.0
Russian Hill,2024-01,3,0,0,1,2,0,1.6666666666666667
Russian Hill,2024-02,3,0,3,0,0,0,1.0
Russian Hill,2024-03,3,0,0,2,1,0,2.6666666666666665
Russian Hill,2024-04,4,0,2,2,0,0,1.75
Russian Hill,2024-05,8,2,2,1,3,0,3.5
Russian Hill,2024-06,1,1,0,0,0,0,9.0
Russian Hill,2024-07,6,1,0,3,2,0,2.0
Russian Hill,2024-08,8,0,4,4,0,0,1.875
Russian Hill,2024-09,2,0,1,0,1,0,1.0
Russian Hill,2024-10,1,0,1,0,0,0,1.0
Russian Hill,2024-12,2,0,0,2,0,0,2.0
Russian Hill,2025-01,4,2,1,1,0,0,6.0
Russian Hill,2025-02,1,0,0,1,0,0,3.0
Russian Hill,2025-03,5,0,1,2,2,0,2.6
Russian Hill,2025-04,4,2,1,0,1,0,19.5
Russian Hill,2025-05,4,0,1,1,2,0,1.75
Russian Hill,2025-06,3,0,1,0,2,0,1.6666666666666667
Russian Hill,2025-07,4,0,0,4,0,0,2.5
Russian Hill,2025-08,2,0,1,1,0,0,2.0
Russian Hill,2025-09,7,1,0,3,3,0,3.5714285714285716
Russian Hill,2025-10,4,0,0,2,2,0,2.0
Russian Hill,2025-11,4,0,2,1,1,0,3.5
Russian Hill,2025-12,3,1,1,0,1,0,3.6666666666666665
Seacliff,2024-03,1,0,1,0,0,0,1.0
Seacliff,2024-10,1,0,0,0,1,0,1.0
Seacliff,2025-05,1,0,0,0,1,0,1.0
Seacliff,2025-06,1,1,0,0,0,0,9.0
Seacliff,2025-09,1,0,0,1,0,0,2.0
Seacliff,2025-11,1,0,1,0,0,0,1.0
South of Market,2024-01,8,3,1,0,4,0,3.625
South of Market,2024-02,9,4,0,1,4,0,3.7777777777777777
South of Market,2024-03,8,1,1,3,3,0,2.875
South of Market,2024-04,9,3,2,1,3,0,2.3333333333333335
South of Market,2024-05,15,1,3,3,8,0,2.066666666666667
South of Market,2024-06,6,1,0,0,5,0,2.6666666666666665
South of Market,2024-07,14,8,0,0,6,0,3.4285714285714284
South of Market,2024-08,6,3,3,0,0,1,4.0
South of Market,2024-09,10,3,4,0,3,0,2.1
South of Market,2024-10,12,4,1,1,6,0,3.75
South of Market,2024-11,7,2,1,0,4,0,3.5714285714285716
South of Market,2024-12,7,3,2,0,2,0,5.142857142857143
South of Market,2025-01,7,2,0,2,3,0,4.428571428571429
South of Market,2025-02,10,2,1,0,7,0,3.0
South of Market,2025-03,14,8,3,0,3,0,4.071428571428571
South of Market,2025-04,9,3,2,2,2,0,3.4444444444444446
South of Market,2025-05,10,3,4,1,2,0,3.9
South of Market,2025-06,8,3,1,1,3,0,2.375
South of Market,2025-07,8,2,1,1,4,0,4.0
South of Market,2025-08,5,1,1,1,2,0,3.2
South of Market,2025-09,7,3,0,1,3,0,3.7142857142857144
South of Market,2025-10,11,1,2,4,4,0,1.4545454545454546
South of Market,2025-11,9,3,1,0,5,0,2.4444444444444446
South of Market,2025-12,7,1,4,1,1,0,2.2857142857142856
Sunset/Parkside,2024-01,29,3,17,6,3,0,2.3793103448275863
Sunset/Parkside,2024-02,94,1,89,3,1,0,1.2234042553191489
Sunset/Parkside,2024-03,27,1,14,4,8,0,1.3333333333333333
Sunset/Parkside,2024-04,19,1,15,2,1,0,1.5789473684210527
Sunset/Parkside,2024-05,20,0,17,0,3,0,1.05
Sunset/Parkside,2024-06,15,1,10,0,4,0,1.6
Sunset/Parkside,2024-07,15,1,12,1,1,0,2.2666666666666666
Sunset/Parkside,2024-08,13,3,5,3,2,1,2.769230769230769
Sunset/Parkside,2024-09,11,1,7,0,3,0,1.7272727272727273
Sunset/Parkside,2024-10,12,1,11,0,0,0,1.75
Sunset/Parkside,2024-11,23,0,21,2,0,0,1.0
Sunset/Parkside,2024-12,31,2,23,1,5,0,1.3870967741935485
Sunset/Parkside,2025-01,17,0,13,1,3,0,1.588235294117647
Sunset/Parkside,2025-02,27,0,26,0,1,0,1.6666666666666667
Sunset/Parkside,2025-03,23,2,17,2,2,0,2.0
Sunset/Parkside,2025-04,9,1,7,0,1,0,1.2222222222222223
Sunset/Parkside,2025-05,22,6,14,0,2,0,2.8181818181818183
Sunset/Parkside,2025-06,31,1,28,1,1,0,1.3548387096774193
Sunset/Parkside,2025-07,15,3,8,0,4,0,2.533333333333333
Sunset/Parkside,2025-08,14,1,9,4,0,0,1.3571428571428572
Sunset/Parkside,2025-09,16,1,13,1,1,0,1.75
Sunset/Parkside,2025-10,13,2,8,2,1,0,2.4615384615384617
Sunset/Parkside,2025-11,16,1,14,1,0,0,1.625
Sunset/Parkside,2025-12,31,2,27,0,2,0,1.2903225806451613
Tenderloin,2024-01,7,2,0,1,4,0,2.7142857142857144
Tenderloin,2024-02,12,4,0,2,6,0,4.666666666666667
Tenderloin,2024-03,12,6,0,0,6,2,4.666666666666667
Tenderloin,2024-04,8,4,1,1,2,1,6.875
Tenderloin,2024-05,14,4,2,0,8,1,2.5
Tenderloin,2024-06,7,2,0,1,4,0,3.4285714285714284
Tenderloin,2024-07,18,6,1,2,9,1,4.222222222222222
Tenderloin,2024-08,12,4,0,2,6,0,2.8333333333333335
Tenderloin,2024-09,21,8,5,2,6,0,4.190476190476191
Tenderloin,2024-10,14,7,0,2,5,0,5.857142857142857
Tenderloin,2024-11,12,3,1,1,7,0,2.0833333333333335
Tenderloin,2024-12,12,6,0,2,4,0,4.25
Tenderloin,2025-01,17,5,3,3,6,0,3.411764705882353
Tenderloin,2025-02,12,5,3,2,2,0,3.5
Tenderloin,2025-03,17,5,2,4,6,0,3.0588235294117645
Tenderloin,2025-04,16,7,0,1,8,2,3.6875
Tenderloin,2025-05,13,5,0,3,5,0,4.6923076923076925
Tenderloin,2025-06,17,14,1,0,2,2,5.294117647058823
Tenderloin,2025-07,9,2,1,1,5,0,3.4444444444444446
Tenderloin,2025-08,14,8,2,2,2,0,4.428571428571429
Tenderloin,2025-09,12,3,1,0,8,0,3.4166666666666665
Tenderloin,2025-10,16,6,4,0,6,1,4.0625
Tenderloin,2025-11,10,4,2,0,4,0,4.9
Tenderloin,2025-12,18,7,4,2,5,0,4.777777777777778
Treasure Island,2024-02,1,1,0,0,0,0,12.0
Treasure Island,2024-03,2,1,0,1,0,0,6.5
Treasure Island,2024-04,1,1,0,0,0,0,12.0
Treasure Island,2024-05,1,0,0,1,0,0,4.0
Treasure Island,2024-06,2,0,2,0,0,0,1.5
Treasure Island,2024-08,2,1,0,0,1,0,5.0
Treasure Island,2024-09,2,0,1,1,0,0,2.5
Treasure Island,2024-11,2,1,0,0,1,0,4.0
Treasure Island,2024-12,2,0,1,0,1,0,1.0
Treasure Island,2025-01,1,0,0,0,1,0,2.0
Treasure Island,2025-02,1,0,0,1,0,0,5.0
Treasure Island,2025-04,1,0,0,0,1,0,1.0
Treasure Island,2025-05,4,2,1,0,1,0,3.75
Treasure Island,2025-06,1,0,1,0,0,0,1.0
Treasure Island,2025-07,1,0,0,1,0,0,4.0
Treasure Island,2025-08,2,1,1,0,0,0,1.0
Treasure Island,2025-10,1,0,0,1,0,0,4.0
Treasure Island,2025-12,2,1,0,0,1,0,5.0
Twin Peaks,2024-01,1,0,0,0,1,0,1.0
Twin Peaks,2024-02,2,0,2,0,0,0,1.5
Twin Peaks,2024-03,1,0,0,1,0,0,3.0
Twin Peaks,2024-04,2,0,1,0,1,0,1.0
Twin Peaks,2024-05,2,0,0,2,0,0,3.0
Twin Peaks,2024-06,1,0,1,0,0,0,1.0
Twin Peaks,2024-07,1,0,0,0,1,0,1.0
Twin Peaks,2024-08,1,1,0,0,0,0,8.0
Twin Peaks,2024-10,1,0,0,0,1,0,1.0
Twin Peaks,2024-11,1,0,1,0,0,0,1.0
Twin Peaks,2025-01,1,0,0,1,0,0,2.0
Twin Peaks,2025-04,2,0,1,0,1,0,2.0
Twin Peaks,2025-05,1,0,1,0,0,0,1.0
Twin Peaks,2025-07,2,1,1,0,0,0,5.5
Twin Peaks,2025-09,5,2,0,0,3,0,4.8
Twin Peaks,2025-10,1,0,0,0,1,0,1.0
Twin Peaks,2025-12,4,0,2,0,2,0,1.0
Visitacion Valley,2024-01,4,1,2,0,1,0,3.0
Visitacion Valley,2024-02,5,1,4,0,0,0,2.6
Visitacion Valley,2024-03,5,1,1,1,2,0,2.6
Visitacion Valley,2024-04,2,1,0,1,0,0,5.0
Visitacion Valley,2024-05,3,1,1,0,1,0,3.6666666666666665
Visitacion Valley,2024-06,3,1,2,0,0,0,3.3333333333333335
Visitacion Valley,2024-07,3,0,3,0,0,0,1.0
Visitacion Valley,2024-08,2,0,2,0,0,0,1.0
Visitacion Valley,2024-09,1,0,0,0,1,0,1.0
Visitacion Valley,2024-10,6,3,0,0,3,0,5.333333333333333
Visitacion Valley,2024-11,3,1,0,1,1,0,5.333333333333333
Visitacion Valley,2024-12,2,1,0,0,1,0,2.0
Visitacion Valley,2025-01,2,0,0,1,1,0,2.0
Visitacion Valley,2025-02,5,0,4,1,0,0,1.2
Visitacion Valley,2025-03,1,0,1,0,0,0,1.0
Visitacion Valley,2025-04,3,1,0,2,0,0,4.666666666666667
Visitacion Valley,2025-05,4,0,3,0,1,0,1.0
Visitacion Valley,2025-06,9,0,7,0,2,0,1.0
Visitacion Valley,2025-07,1,0,0,0,1,0,1.0
Visitacion Valley,2025-08,2,0,2,0,0,0,1.0
Visitacion Valley,2025-09,5,0,3,0,2,0,1.0
Visitacion Valley,2025-10,6,1,2,1,2,0,2.3333333333333335
Visitacion Valley,2025-11,3,0,2,1,0,0,1.0
Visitacion Valley,2025-12,2,1,0,0,1,0,5.0
West of Twin Peaks,2024-01,9,0,6,2,1,0,1.5555555555555556
West of Twin Peaks,2024-02,25,1,13,7,4,0,1.72
West of Twin Peaks,2024-03,8,1,4,2,1,0,4.375
West of Twin Peaks,2024-04,8,0,3,1,4,0,1.25
West of Twin Peaks,2024-05,11,0,4,3,4,0,1.8181818181818181
West of Twin Peaks,2024-06,7,1,1,2,3,0,2.142857142857143
West of Twin Peaks,2024-07,5,0,3,0,2,0,1.4
West of Twin Peaks,2024-08,6,1,2,2,1,0,2.5
West of Twin Peaks,2024-09,8,1,1,1,5,0,2.75
West of Twin Peaks,2024-10,8,1,3,2,2,0,2.25
West of Twin Peaks,2024-11,11,1,4,3,3,0,2.8181818181818183
West of Twin Peaks,2024-12,5,0,4,0,1,0,1.4
West of Twin Peaks,2025-01,5,2,2,1,0,0,2.8
West of Twin Peaks,2025-02,16,1,8,7,0,0,1.9375
West of Twin Peaks,2025-03,8,1,5,0,2,0,2.125
West of Twin Peaks,2025-04,8,3,3,2,0,0,3.875
West of Twin Peaks,2025-05,1,0,1,0,0,0,1.0
West of Twin Peaks,2025-06,11,0,7,2,2,0,1.9090909090909092
West of Twin Peaks,2025-07,3,1,1,0,1,0,3.6666666666666665
West of Twin Peaks,2025-08,3,1,1,0,1,0,1.6666666666666667
West of Twin Peaks,2025-09,6,0,6,0,0,0,2.1666666666666665
West of Twin Peaks,2025-10,4,0,0,3,1,0,1.5
West of Twin Peaks,2025-11,4,0,4,0,0,0,1.0
West of Twin Peaks,2025-12,6,1,5,0,0,0,3.6666666666666665
Western Addition,2024-01,5,3,0,0,2,0,6.0
Western Addition,2024-02,1,0,0,0,1,0,3.0
Western Addition,2024-03,4,0,2,2,0,0,2.5
Western Addition,2024-04,9,2,0,3,4,0,2.6666666666666665
Western Addition,2024-05,1,0,0,1,0,0,3.0
Western Addition,2024-06,3,1,0,0,2,0,2.3333333333333335
Western Addition,2024-07,4,0,1,0,3,0,1.0
Western Addition,2024-08,3,1,1,1,0,0,1.6666666666666667
Western Addition,2024-09,8,1,1,2,4,0,2.625
Western Addition,2024-10,5,1,1,1,2,0,1.4
Western Addition,2024-11,4,0,0,2,2,0,1.75
Western Addition,2024-12,4,1,0,2,1,0,4.5
Western Addition,2025-01,6,4,0,2,0,0,1.5
Western Addition,2025-02,4,0,0,1,3,0,2.25
Western Addition,2025-03,6,1,0,3,2,0,3.3333333333333335
Western Addition,2025-04,2,1,0,0,1,1,4.5
Western Addition,2025-05,4,0,2,0,2,0,1.25
Western Addition,2025-06,3,0,2,1,0,0,4.0
Western Addition,2025-07,3,1,0,0,2,0,4.333333333333333
Western Addition,2025-08,3,1,0,0,2,0,4.333333333333333
Western Addition,2025-09,5,2,1,0,2,0,2.8
Western Addition,2025-10,2,0,1,0,1,0,1.0
Western Addition,2025-11,3,0,0,0,3,0,1.0
Western Addition,2025-12,6,0,3,0,3,0,1.8333333333333333
