neighborhood,year_month,total_311_count,count_street_pavement,count_sidewalk_curb,count_sewer_drainage,count_streetlights,count_traffic_signs,count_trees,distinct_issue_groups,avg_closure_days
Castro/Upper Market,2025-01,147,12,46,20,5,42,16,8,22.23748047367095
Castro/Upper Market,2025-02,253,15,85,25,7,73,30,8,17.056477700309873
Castro/Upper Market,2025-03,208,13,87,16,3,52,19,8,25.293234174679487
Castro/Upper Market,2025-04,150,11,46,16,6,45,14,8,24.800328935185185
Castro/Upper Market,2025-05,156,14,37,27,2,35,22,8,25.082362088143338
Castro/Upper Market,2025-06,147,7,59,17,1,32,20,9,21.74615019342973
Castro/Upper Market,2025-07,206,35,27,15,4,83,17,8,15.292745070941587
Castro/Upper Market,2025-08,149,26,32,17,10,32,22,8,16.944179218831508
Castro/Upper Market,2025-09,160,33,23,16,6,40,8,9,14.420664776722926
Castro/Upper Market,2025-10,216,42,17,50,9,55,14,9,9.340056734596747
Castro/Upper Market,2025-11,157,24,17,28,13,43,7,8,9.64632106628922
Castro/Upper Market,2025-12,147,13,28,28,11,33,10,9,6.131552613811729
Chinatown,2024-01,65,17,16,7,0,25,0,4,9.609592236467236
Chinatown,2024-02,59,5,14,15,0,22,3,5,9.192861542686755
Chinatown,2024-03,39,2,10,3,0,23,1,5,8.423383190883191
Chinatown,2024-04,22,2,7,9,0,2,2,5,4.13550768097643
Chinatown,2024-05,21,1,6,2,0,11,1,5,3.2242983906525575
Chinatown,2024-06,23,0,3,8,0,3,1,6,23.675747282608693
Chinatown,2024-07,36,6,9,9,2,4,4,7,26.622753306878305
Chinatown,2024-08,32,3,8,5,2,4,5,8,44.897065038829155
Chinatown,2024-09,29,3,5,12,0,0,0,5,32.89616299489144
Chinatown,2024-10,35,0,13,6,4,2,2,7,16.413269510582012
Chinatown,2024-11,37,4,9,15,0,1,3,6,10.696815252752753
Chinatown,2024-12,42,3,5,10,3,7,3,8,11.733209325396826
Chinatown,2025-01,53,5,13,7,1,2,2,8,32.29514303808526
Chinatown,2025-02,42,4,9,13,1,6,1,8,18.42717366757001
Chinatown,2025-03,58,10,16,13,2,9,1,8,30.233334730204344
Chinatown,2025-04,27,4,10,4,2,3,1,7,36.9978167866941
Chinatown,2025-05,44,12,13,9,0,4,2,6,18.380152885443582
Chinatown,2025-06,59,7,8,7,1,12,1,8,13.426819125159643
Chinatown,2025-07,63,10,9,8,1,9,4,8,12.706432613168724
Chinatown,2025-08,62,15,5,14,0,6,2,7,15.882975470430107
Chinatown,2025-09,50,6,10,14,3,9,6,8,26.204380324074073
Chinatown,2025-10,50,23,8,7,1,5,0,7,16.023266203703702
Chinatown,2025-11,38,5,10,10,0,3,1,7,6.237451514014014
Chinatown,2025-12,49,7,9,14,2,7,1,8,14.280269510582011
Excelsior,2024-01,53,5,6,28,0,9,5,5,11.00968640810622
Excelsior,2024-02,69,10,3,24,0,3,29,5,7.979026268115941
Excelsior,2024-03,15,5,2,3,0,2,3,5,15.297743827160495
Excelsior,2024-04,18,6,3,3,0,6,0,4,5.74770061728395
Excelsior,2024-05,19,3,0,8,0,5,3,4,4.419511452241715
Excelsior,2024-06,49,6,4,19,0,5,9,7,27.4788012214342
Excelsior,2024-07,61,9,8,19,1,6,14,8,21.805504895264118
Excelsior,2024-08,66,7,7,28,5,4,4,8,16.480154671717173
Excelsior,2024-09,45,7,5,15,3,7,3,8,52.60300715488216
Excelsior,2024-10,62,4,4,20,7,6,13,8,11.998165604128719
Excelsior,2024-11,77,10,6,31,3,3,12,8,15.494571911549707
Excelsior,2024-12,92,15,12,28,4,6,18,9,24.737729038065844
Excelsior,2025-01,71,10,9,32,3,2,8,8,22.76242941444966
Excelsior,2025-02,63,8,8,23,5,5,9,8,29.135396554341227
Excelsior,2025-03,83,7,11,23,3,7,17,8,22.20682740162037
Excelsior,2025-04,82,7,11,29,2,4,21,8,36.92642243905298
Excelsior,2025-05,92,14,18,25,4,8,16,8,19.01862166768417
Excelsior,2025-06,70,5,10,24,6,5,14,9,17.56958283730159
Excelsior,2025-07,71,5,5,26,3,8,15,8,18.025228873239435
Excelsior,2025-08,97,15,29,21,3,4,15,9,24.44805374710648
Excelsior,2025-09,63,10,5,19,4,6,8,9,10.534114675191065
Excelsior,2025-10,89,12,17,38,2,9,5,8,6.5363496948653195
Excelsior,2025-11,100,18,26,30,10,2,6,8,15.21945040684624
Excelsior,2025-12,71,10,14,22,4,7,8,8,7.981256448412698
Financial District/South Beach,2024-01,60,11,13,15,0,15,6,5,12.725484182098766
Financial District/South Beach,2024-02,88,12,13,21,0,19,23,5,6.193835490319865
Financial District/South Beach,2024-03,64,7,8,11,0,32,6,5,13.849056712962962
Financial District/South Beach,2024-04,51,8,16,5,0,18,4,5,9.614677514524328
Financial District/South Beach,2024-05,33,8,11,6,0,5,3,5,5.214757295173961
Financial District/South Beach,2024-06,81,20,15,14,3,9,10,8,33.39844126157407
Financial District/South Beach,2024-07,124,15,32,12,14,14,9,8,33.36098803071364
Financial District/South Beach,2024-08,95,14,21,9,13,8,5,8,18.66697904353822
Financial District/South Beach,2024-09,134,14,28,13,18,28,2,8,27.80888526119403
Financial District/South Beach,2024-10,136,18,32,17,9,13,7,8,25.44018834175084
Financial District/South Beach,2024-11,131,5,26,35,15,11,6,8,15.306798018949182
Financial District/South Beach,2024-12,90,4,13,19,12,8,13,8,25.817669449646274
Financial District/South Beach,2025-01,116,11,38,13,10,19,3,9,25.28074989935588
Financial District/South Beach,2025-02,108,19,20,14,15,23,4,8,27.77412480529595
Financial District/South Beach,2025-03,125,15,37,8,4,21,11,8,20.098048418209878
Financial District/South Beach,2025-04,89,16,25,8,7,20,1,8,35.306457506613754
Financial District/South Beach,2025-05,123,11,33,8,24,19,5,8,19.050847608024693
Financial District/South Beach,2025-06,124,15,39,3,16,19,3,8,17.508823495370372
Financial District/South Beach,2025-07,233,81,19,16,19,45,10,8,24.210965126811594
Financial District/South Beach,2025-08,233,50,19,12,32,41,15,9,17.938386756024585
Financial District/South Beach,2025-09,239,46,26,11,16,59,10,8,15.32634744781858
Financial District/South Beach,2025-10,157,24,20,11,11,41,3,8,13.694761220217032
Financial District/South Beach,2025-11,164,20,35,7,9,40,7,8,15.500143417874394
Financial District/South Beach,2025-12,190,19,19,21,30,55,8,8,7.635740242931103
Glen Park,2024-01,24,3,2,12,0,2,5,5,28.046580825617283
Glen Park,2024-02,45,2,2,13,0,6,22,5,14.377581275720164
Glen Park,2024-03,26,9,1,6,0,6,4,5,4.582893073361823
Glen Park,2024-04,19,3,2,0,0,8,6,4,6.014519371345029
Glen Park,2024-05,19,3,3,5,0,5,3,5,5.049145955165692
Glen Park,2024-06,28,2,5,7,2,3,8,7,30.97313492063492
Glen Park,2024-07,32,4,10,4,3,5,3,8,44.04466435185185
Glen Park,2024-08,43,4,10,7,1,6,8,8,48.99486164944013
Glen Park,2024-09,62,7,20,12,2,5,6,8,35.054481593488646
Glen Park,2024-10,38,3,7,8,2,3,11,8,16.791091313352826
Glen Park,2024-11,46,6,8,17,1,1,9,8,21.199619633838385
Glen Park,2024-12,46,6,8,8,1,6,10,8,13.176212910353534
Glen Park,2025-01,44,8,5,19,2,1,2,9,25.138101588804712
Glen Park,2025-02,59,8,13,16,4,4,8,8,15.54537056992337
Glen Park,2025-03,31,2,6,4,1,4,6,8,30.570163966049385
Glen Park,2025-04,42,6,5,5,1,17,7,7,18.839079585537917
Glen Park,2025-05,55,9,6,7,0,24,4,6,18.225215509259257
Glen Park,2025-06,42,4,7,3,1,15,7,8,23.47672012786596
Glen Park,2025-07,134,5,24,9,0,75,10,7,21.167737931156346
Glen Park,2025-08,122,18,8,8,1,63,6,8,18.77938287416515
Glen Park,2025-09,78,23,9,9,3,18,5,8,23.402692010921175
Glen Park,2025-10,73,15,10,14,5,11,6,8,13.872916032470828
Glen Park,2025-11,78,17,6,10,0,28,6,7,14.025117521367523
Glen Park,2025-12,44,12,7,8,4,3,6,8,11.702743318602694
Golden Gate Park,2024-01,48,14,3,6,0,19,6,5,22.22974609375
Golden Gate Park,2024-02,51,22,2,4,0,10,13,5,21.20393405047204
Golden Gate Park,2024-03,16,5,2,1,0,7,1,5,46.879105179398145
Golden Gate Park,2024-04,20,2,4,8,0,6,0,4,19.485616319444443
Golden Gate Park,2024-05,7,0,1,2,0,4,0,3,10.735684523809525
Golden Gate Park,2024-06,35,4,5,7,1,16,1,7,53.36754001322751
Golden Gate Park,2024-07,37,2,7,4,9,8,7,6,101.57780937187187
Golden Gate Park,2024-08,28,1,4,2,6,10,2,7,66.4833626818783
Golden Gate Park,2024-09,26,3,4,4,1,10,2,7,60.83910701566951
Golden Gate Park,2024-10,25,0,4,2,6,6,3,7,49.9182912037037
Golden Gate Park,2024-11,45,2,0,6,14,13,8,7,22.128227588383837
Golden Gate Park,2024-12,62,3,8,13,5,22,9,8,25.957890103217974
Golden Gate Park,2025-01,31,6,8,6,3,3,3,8,45.5302740442055
Golden Gate Park,2025-02,61,5,3,20,14,10,5,8,23.782436627200973
Golden Gate Park,2025-03,40,3,7,11,6,8,3,8,18.876429398148147
Golden Gate Park,2025-04,40,0,18,8,0,5,4,6,43.15544560185185
Golden Gate Park,2025-05,66,0,22,5,4,24,6,7,15.578398919753084
Golden Gate Park,2025-06,36,4,5,2,0,19,3,6,15.514644740226338
Golden Gate Park,2025-07,62,3,4,9,3,30,4,8,8.198427823315118
Golden Gate Park,2025-08,53,3,3,7,1,24,12,8,9.78065928546471
Golden Gate Park,2025-09,42,1,13,3,6,14,4,7,13.822032238030712
Golden Gate Park,2025-10,76,10,13,13,8,22,4,8,9.929328551413255
Golden Gate Park,2025-11,42,1,5,7,8,14,4,7,24.668529265873016
Golden Gate Park,2025-12,81,5,4,7,14,28,10,8,9.5698691129401
Haight Ashbury,2024-01,96,7,30,16,0,38,5,5,10.381904779128087
Haight Ashbury,2024-02,163,5,49,20,0,57,32,5,14.032258435582822
Haight Ashbury,2024-03,108,7,57,4,0,33,7,5,17.164385180898492
Haight Ashbury,2024-04,83,4,31,4,0,38,6,5,10.72937527889335
Haight Ashbury,2024-05,61,6,10,7,0,29,9,5,5.029320165452338
Haight Ashbury,2024-06,36,2,13,6,0,5,4,7,25.143632330246916
Haight Ashbury,2024-07,80,7,21,8,3,15,9,8,50.986244068287036
Haight Ashbury,2024-08,96,16,21,11,3,11,15,9,42.26349179964539
Haight Ashbury,2024-09,81,6,30,4,3,10,9,8,35.15364699074074
Haight Ashbury,2024-10,116,31,25,17,6,9,14,8,34.070570249597424
Haight Ashbury,2024-11,101,10,21,22,6,5,22,8,26.13441319444444
Haight Ashbury,2024-12,103,8,21,28,5,17,12,8,22.342984749455336
Haight Ashbury,2025-01,79,13,17,15,1,14,7,8,28.73291800213675
Haight Ashbury,2025-02,135,9,31,23,2,47,11,8,33.987562830687835
Haight Ashbury,2025-03,163,10,65,6,1,55,11,8,42.22144154378144
Haight Ashbury,2025-04,147,14,70,7,4,33,10,9,37.7573892535515
Haight Ashbury,2025-05,104,7,35,8,5,28,7,8,24.064428487953975
Haight Ashbury,2025-06,182,32,37,14,1,58,14,9,19.235945776432857
Haight Ashbury,2025-07,122,18,9,8,1,66,8,9,22.643474344135804
Haight Ashbury,2025-08,112,23,5,13,8,35,10,8,18.159643939393938
Haight Ashbury,2025-09,124,32,15,10,2,39,3,8,20.271447518214934
Haight Ashbury,2025-10,154,23,16,24,6,43,15,9,13.412748577826191
Haight Ashbury,2025-11,129,24,13,22,3,35,6,8,13.627962155469422
Haight Ashbury,2025-12,116,14,7,25,7,35,6,8,6.520976283300845
Hayes Valley,2024-01,78,8,19,22,0,19,10,5,13.361093898385565
Hayes Valley,2024-02,172,11,39,34,0,60,28,5,10.928650476421188
Hayes Valley,2024-03,91,16,18,6,0,39,12,5,8.619457799145298
Hayes Valley,2024-04,75,5,26,9,0,25,10,5,6.74026712962963
Hayes Valley,2024-05,70,10,26,3,0,25,6,5,6.043379298941799
Hayes Valley,2024-06,80,6,31,12,2,13,9,8,17.66072990859449
Hayes Valley,2024-07,129,8,54,20,13,8,13,8,67.00743524029983
Hayes Valley,2024-08,94,5,35,5,7,14,14,8,38.01936773542159
Hayes Valley,2024-09,142,11,71,14,5,11,7,9,32.96127265910277
Hayes Valley,2024-10,107,13,42,12,9,8,11,9,22.302478380503146
Hayes Valley,2024-11,110,3,38,14,15,7,14,9,25.15119467804961
Hayes Valley,2024-12,95,4,35,14,5,8,12,8,29.23567560579196
Hayes Valley,2025-01,111,17,34,15,6,17,6,8,37.5455293280666
Hayes Valley,2025-02,133,5,33,20,7,42,13,8,22.40059245335561
Hayes Valley,2025-03,104,10,28,14,5,22,6,8,15.978695613088815
Hayes Valley,2025-04,129,23,48,12,7,17,7,8,29.993313101487313
Hayes Valley,2025-05,121,15,27,17,9,19,12,8,20.46686390817901
Hayes Valley,2025-06,135,19,20,15,5,42,14,8,15.618824530022446
Hayes Valley,2025-07,132,33,17,5,3,38,11,9,19.714733796296297
Hayes Valley,2025-08,114,22,12,2,7,25,25,8,24.841826757620453
Hayes Valley,2025-09,187,50,15,11,3,52,25,9,17.527490365365367
Hayes Valley,2025-10,172,24,15,38,6,48,12,8,11.652243284345392
Hayes Valley,2025-11,114,17,15,18,5,32,8,8,12.748163409537856
Hayes Valley,2025-12,119,10,11,26,10,34,10,8,8.131864602950408
Inner Richmond,2024-01,49,7,2,29,0,5,6,5,18.930571617535904
Inner Richmond,2024-02,55,4,3,27,0,5,16,5,9.478131102693602
Inner Richmond,2024-03,26,2,7,4,0,10,3,5,11.345031606125357
Inner Richmond,2024-04,25,2,7,7,0,5,4,5,4.646318055555555
Inner Richmond,2024-05,20,5,4,6,0,4,1,5,5.379474537037037
Inner Richmond,2024-06,38,4,5,8,0,2,3,7,22.300430677387915
Inner Richmond,2024-07,55,10,12,9,2,6,5,8,21.518134890572387
Inner Richmond,2024-08,70,12,13,20,3,8,4,9,25.354570436507938
Inner Richmond,2024-09,72,9,2,13,4,11,6,9,41.7693666409465
Inner Richmond,2024-10,90,12,14,20,2,13,3,8,21.513813462338746
Inner Richmond,2024-11,94,8,6,33,7,11,4,8,11.757990944240943
Inner Richmond,2024-12,73,5,10,28,3,9,5,8,21.833680238457635
Inner Richmond,2025-01,58,10,5,17,2,10,4,8,19.34415030332056
Inner Richmond,2025-02,65,7,9,17,1,9,7,8,38.395115559895835
Inner Richmond,2025-03,60,13,11,9,1,11,2,8,38.555814429012344
Inner Richmond,2025-04,73,8,14,15,4,6,9,8,20.85951087645865
Inner Richmond,2025-05,71,6,16,21,1,9,7,7,8.023193140323421
Inner Richmond,2025-06,90,7,12,13,1,8,6,8,8.789452417695474
Inner Richmond,2025-07,98,12,14,12,1,24,10,8,24.122087390225275
Inner Richmond,2025-08,88,5,38,21,1,8,3,8,27.40158236005892
Inner Richmond,2025-09,103,9,24,12,0,12,5,7,16.72917417750197
Inner Richmond,2025-10,58,15,4,19,1,9,2,8,10.22399112654321
Inner Richmond,2025-11,91,11,14,37,2,18,3,8,8.424492691427384
Inner Richmond,2025-12,86,3,27,26,0,11,5,7,16.101078138458224
Inner Sunset,2024-01,69,19,12,19,0,10,9,5,7.025259494095545
Inner Sunset,2024-02,92,12,9,27,0,15,29,5,9.328671749194848
Inner Sunset,2024-03,49,12,6,13,0,17,1,5,9.401624149659865
Inner Sunset,2024-04,31,2,6,3,0,15,5,5,8.208962066905615
Inner Sunset,2024-05,56,16,22,9,0,8,1,5,4.419058573082011
Inner Sunset,2024-06,43,12,7,6,0,7,9,6,22.239209931657847
Inner Sunset,2024-07,73,10,11,22,1,6,10,8,21.668487815072016
Inner Sunset,2024-08,70,2,14,12,6,10,9,8,28.42851603835979
Inner Sunset,2024-09,84,7,20,14,5,10,5,8,44.18590126212522
Inner Sunset,2024-10,116,10,31,24,5,22,15,8,47.34657347020934
Inner Sunset,2024-11,109,10,23,31,7,11,15,8,22.19471364883402
Inner Sunset,2024-12,99,17,20,22,7,10,13,8,33.018231855592965
Inner Sunset,2025-01,87,9,23,20,2,13,9,8,37.344209194659776
Inner Sunset,2025-02,98,12,28,15,1,20,12,8,36.93487769663994
Inner Sunset,2025-03,96,12,25,22,2,18,9,8,21.9876936246142
Inner Sunset,2025-04,113,20,25,20,2,22,9,8,23.072217055224865
Inner Sunset,2025-05,111,18,22,19,4,24,10,9,21.112954786782193
Inner Sunset,2025-06,108,12,23,15,3,17,10,8,12.213187783892383
Inner Sunset,2025-07,140,18,13,21,6,64,7,8,13.098901628697043
Inner Sunset,2025-08,128,28,13,22,2,32,12,8,19.44325056951793
Inner Sunset,2025-09,104,19,12,21,1,30,5,8,10.732883613782052
Inner Sunset,2025-10,109,15,20,31,2,15,6,9,9.624567299524294
Inner Sunset,2025-11,123,20,15,25,8,37,6,8,14.49976823391014
Inner Sunset,2025-12,128,14,13,43,9,21,13,8,6.838818721064815
Japantown,2024-01,17,0,8,5,0,3,1,4,8.070119144880174
Japantown,2024-02,23,0,3,6,0,4,10,4,4.699237620772947
Japantown,2024-03,11,1,3,1,0,5,1,5,20.122381102693602
Japantown,2024-04,7,0,2,1,0,4,0,3,22.614454365079364
Japantown,2024-05,4,1,0,1,0,2,0,3,13.496096643518518
Japantown,2024-06,9,0,0,0,0,1,4,3,13.149329989711934
Japantown,2024-07,20,2,2,2,0,0,2,6,28.735199074074075
Japantown,2024-08,34,1,15,0,0,7,5,6,16.961309232026142
Japantown,2024-09,22,5,7,0,0,1,0,4,16.151909196127946
Japantown,2024-10,28,0,11,0,1,4,2,5,5.251270667989417
Japantown,2024-11,32,2,4,5,0,1,3,7,11.516398596176822
Japantown,2024-12,25,0,4,7,0,4,3,6,15.942923611111112
Japantown,2025-01,26,0,6,2,2,3,2,7,2.7073321759259263
Japantown,2025-02,22,0,8,3,1,3,4,7,28.699301346801345
Japantown,2025-03,21,1,2,2,1,5,1,8,19.208337742504412
Japantown,2025-04,19,1,4,1,1,2,0,7,4.053582480506822
Japantown,2025-05,21,1,2,2,0,5,0,6,3.9350144675925924
Japantown,2025-06,20,0,2,0,1,2,0,5,5.647999421296296
Japantown,2025-07,20,3,4,1,0,4,1,6,16.296547880116957
Japantown,2025-08,37,4,5,4,1,5,5,8,27.6578612987988
Japantown,2025-09,27,5,6,3,1,3,1,7,19.959467592592596
Japantown,2025-10,28,1,6,9,0,1,0,6,6.324057126322751
Japantown,2025-11,13,1,1,2,1,0,0,6,8.045413105413106
Japantown,2025-12,39,2,3,12,1,4,2,8,3.637356731731732
Lakeshore,2024-01,7,1,1,1,0,2,2,5,22.6918253968254
Lakeshore,2024-02,32,12,2,1,0,12,5,5,10.792119502314815
Lakeshore,2024-03,13,2,3,5,0,1,2,5,8.903600427350428
Lakeshore,2024-04,15,3,0,2,0,10,0,3,16.48488040123457
Lakeshore,2024-05,7,2,0,0,0,3,2,3,15.145747354497354
Lakeshore,2024-06,11,3,1,0,0,3,1,5,5.738896254208755
Lakeshore,2024-07,20,1,1,1,1,11,3,7,23.475122685185188
Lakeshore,2024-08,36,1,21,4,3,6,1,6,42.61157600308642
Lakeshore,2024-09,17,3,1,4,2,1,1,8,49.060812908496736
Lakeshore,2024-10,29,6,3,2,5,8,1,7,42.28581098339719
Lakeshore,2024-11,20,0,1,9,1,2,3,6,28.225114583333333
Lakeshore,2024-12,25,3,4,3,2,6,3,8,30.337013406635805
Lakeshore,2025-01,35,12,3,0,6,7,3,7,29.648036044973548
Lakeshore,2025-02,32,4,10,3,2,9,2,7,18.565266927083332
Lakeshore,2025-03,54,20,10,2,0,9,4,8,6.4899599194101505
Lakeshore,2025-04,24,9,4,0,1,5,0,5,14.745540123456792
Lakeshore,2025-05,33,8,22,0,1,2,0,4,32.487331814236114
Lakeshore,2025-06,16,2,5,2,1,3,0,7,13.010397858796296
Lakeshore,2025-07,29,3,16,1,1,2,5,7,25.838957136015324
Lakeshore,2025-08,31,12,6,0,2,8,1,6,30.122570937873355
Lakeshore,2025-09,35,10,4,2,4,11,0,7,15.625715209694988
Lakeshore,2025-10,53,15,9,2,8,10,1,8,14.525297587250712
Lakeshore,2025-11,19,0,4,0,1,7,2,7,10.447903163580246
Lakeshore,2025-12,33,2,9,7,2,4,3,9,12.243656705948373
Lincoln Park,2024-01,1,1,0,0,0,0,0,1,36.02361111111111
Lincoln Park,2024-02,2,0,1,0,0,0,1,2,9.807488425925925
Lincoln Park,2024-09,1,1,0,0,0,0,0,1,221.6754398148148
Lincoln Park,2024-11,3,0,0,0,0,3,0,1,6.798927469135802
Lincoln Park,2025-01,2,1,0,1,0,0,0,2,3.9942824074074075
Lincoln Park,2025-02,1,0,0,1,0,0,0,1,1.021400462962963
Lincoln Park,2025-03,6,0,0,0,0,2,3,3,10.245007716049383
Lincoln Park,2025-04,1,0,0,1,0,0,0,1,26.168078703703703
Lincoln Park,2025-06,5,0,4,0,0,1,0,2,5.79394212962963
Lincoln Park,2025-07,1,0,1,0,0,0,0,1,5.5701273148148145
Lincoln Park,2025-08,1,0,0,0,0,0,0,1,4.063055555555556
Lincoln Park,2025-10,2,0,0,2,0,0,0,1,0.7087731481481482
Lincoln Park,2025-11,4,0,0,1,1,1,1,4,50.49106481481481
Lincoln Park,2025-12,1,0,0,1,0,0,0,1,0.21729166666666666
Lone Mountain/USF,2024-01,32,6,3,8,0,12,3,5,12.930847800925926
Lone Mountain/USF,2024-02,41,4,2,5,0,17,13,5,10.125128443992773
Lone Mountain/USF,2024-03,61,8,7,3,0,37,6,5,8.153552671523984
Lone Mountain/USF,2024-04,33,8,3,1,0,16,5,5,6.759651024130191
Lone Mountain/USF,2024-05,24,5,5,1,0,11,2,5,9.089424672067901
Lone Mountain/USF,2024-06,12,2,2,2,0,2,2,7,15.269261188271601
Lone Mountain/USF,2024-07,34,2,10,7,2,4,5,8,14.887896241830065
Lone Mountain/USF,2024-08,45,3,10,9,1,5,9,8,43.072619598765435
Lone Mountain/USF,2024-09,37,7,6,4,2,7,6,8,41.20246362433862
Lone Mountain/USF,2024-10,37,4,10,7,1,8,2,8,52.020703042328044
Lone Mountain/USF,2024-11,63,6,18,17,1,6,9,8,32.63511872759857
Lone Mountain/USF,2024-12,51,2,16,10,1,7,9,8,30.519549745824254
Lone Mountain/USF,2025-01,37,6,11,6,3,3,3,8,46.38943568568568
Lone Mountain/USF,2025-02,83,5,16,14,4,27,10,8,23.92438996160795
Lone Mountain/USF,2025-03,51,0,17,8,3,12,5,7,43.151217774146694
Lone Mountain/USF,2025-04,46,5,9,2,0,16,5,7,32.822549639917696
Lone Mountain/USF,2025-05,69,9,15,8,1,25,6,8,17.884253121492705
Lone Mountain/USF,2025-06,47,7,7,4,0,20,2,7,10.76106653861308
Lone Mountain/USF,2025-07,65,16,10,6,4,24,3,7,16.280638354700855
Lone Mountain/USF,2025-08,41,11,7,3,0,12,4,8,28.374657012195126
Lone Mountain/USF,2025-09,38,10,6,6,0,7,2,7,12.14745674951267
Lone Mountain/USF,2025-10,63,9,5,16,3,14,6,8,16.164951090203107
