neighborhood,year_month,total_311_count,count_street_pavement,count_sidewalk_curb,count_sewer_drainage,count_streetlights,count_traffic_signs,count_trees,distinct_issue_groups,avg_closure_days
Bayview Hunters Point,2024-01,154,29,22,69,0,25,9,5,10.524425204425205
Bayview Hunters Point,2024-02,191,23,16,78,0,18,56,5,10.463188081733566
Bayview Hunters Point,2024-03,84,13,24,22,0,16,9,5,8.665073026895945
Bayview Hunters Point,2024-04,85,17,33,18,0,11,6,5,5.562518382352941
Bayview Hunters Point,2024-05,95,11,47,18,0,15,4,5,3.6407521929824562
Bayview Hunters Point,2024-06,127,11,52,23,2,13,13,8,20.768180092592594
Bayview Hunters Point,2024-07,200,19,97,40,6,11,17,8,24.178422870840382
Bayview Hunters Point,2024-08,254,13,136,40,20,15,17,8,34.82631171314595
Bayview Hunters Point,2024-09,352,12,236,46,14,24,8,8,21.514501184014474
Bayview Hunters Point,2024-10,485,10,339,62,20,22,12,8,23.071612246951922
Bayview Hunters Point,2024-11,373,9,225,88,19,9,12,8,17.478794044901065
Bayview Hunters Point,2024-12,370,15,226,68,7,26,13,8,16.967111060925426
Bayview Hunters Point,2025-01,510,23,367,40,20,19,17,9,14.713332105435494
Bayview Hunters Point,2025-02,438,23,286,57,14,26,22,8,15.19629478663446
Bayview Hunters Point,2025-03,359,25,219,34,7,30,19,8,18.50174999349771
Bayview Hunters Point,2025-04,339,20,174,71,12,21,27,9,18.60692901234568
Bayview Hunters Point,2025-05,286,15,154,50,7,18,23,9,15.816369571596242
Bayview Hunters Point,2025-06,247,17,120,45,11,16,17,9,18.014235308012093
Bayview Hunters Point,2025-07,289,22,149,26,13,29,27,8,21.36643138111888
Bayview Hunters Point,2025-08,237,34,60,63,13,26,15,8,21.58494796612852
Bayview Hunters Point,2025-09,268,60,88,44,15,17,19,9,12.612901451310861
Bayview Hunters Point,2025-10,225,23,108,36,15,17,11,8,10.163457767489712
Bayview Hunters Point,2025-11,258,16,108,63,15,11,27,8,8.280921647571697
Bayview Hunters Point,2025-12,244,31,78,49,13,13,29,9,8.304728795153178
Bernal Heights,2024-01,69,22,9,30,0,2,6,5,13.365864197530863
Bernal Heights,2024-02,98,20,6,19,0,15,38,5,11.207777069160997
Bernal Heights,2024-03,39,9,7,6,0,7,10,5,11.797620785849952
Bernal Heights,2024-04,44,8,5,10,0,18,3,5,7.325212015993267
Bernal Heights,2024-05,41,7,7,14,0,10,3,5,4.464045280036133
Bernal Heights,2024-06,65,14,9,17,1,13,6,7,19.097627314814815
Bernal Heights,2024-07,87,6,9,31,1,13,20,7,34.99531958061002
Bernal Heights,2024-08,77,6,8,28,3,4,15,8,26.94465367965368
Bernal Heights,2024-09,95,13,19,28,8,4,6,9,29.77902668128655
Bernal Heights,2024-10,80,8,12,29,11,7,6,8,12.599505063657407
Bernal Heights,2024-11,126,20,26,43,5,5,12,8,18.78235655737705
Bernal Heights,2024-12,106,15,22,23,3,6,27,8,24.574832398504274
Bernal Heights,2025-01,125,21,19,45,4,8,19,8,37.65698504704301
Bernal Heights,2025-02,138,15,46,32,5,29,10,7,35.1326935253268
Bernal Heights,2025-03,110,8,30,18,4,34,7,8,23.062804820006924
Bernal Heights,2025-04,127,9,32,14,3,48,8,8,33.40476786514337
Bernal Heights,2025-05,179,12,30,18,0,102,11,7,17.989496626984128
Bernal Heights,2025-06,250,21,41,19,3,135,11,8,12.63785730886509
Bernal Heights,2025-07,196,32,17,17,11,89,14,8,16.487744381751543
Bernal Heights,2025-08,158,26,14,37,6,54,9,8,21.12316367980884
Bernal Heights,2025-09,140,28,21,27,11,26,8,8,13.969223038236077
Bernal Heights,2025-10,133,17,16,49,11,18,9,8,7.742361380275624
Bernal Heights,2025-11,106,15,15,48,8,5,6,9,9.439946606394129
Bernal Heights,2025-12,118,20,18,32,11,17,6,8,10.892962962962963
Castro/Upper Market,2024-01,77,8,16,24,0,21,8,5,9.219255802068302
Castro/Upper Market,2024-02,95,12,19,15,0,19,30,5,12.053287037037038
Castro/Upper Market,2024-03,68,12,11,13,0,19,13,5,9.76334201388889
Castro/Upper Market,2024-04,63,11,9,12,0,24,7,5,9.661010802469136
Castro/Upper Market,2024-05,62,7,11,8,0,29,7,5,4.099157332735961
Castro/Upper Market,2024-06,62,7,19,9,0,8,10,7,20.25625274639046
Castro/Upper Market,2024-07,94,12,16,17,5,12,16,8,34.41598662825059
Castro/Upper Market,2024-08,99,7,13,27,8,11,18,8,24.43330002834467
Castro/Upper Market,2024-09,106,6,34,15,5,15,14,8,24.841693199685533
Castro/Upper Market,2024-10,160,10,59,21,9,17,24,8,21.367160396155647
Castro/Upper Market,2024-11,147,11,43,33,10,14,23,8,19.648651941872426
Castro/Upper Market,2024-12,178,6,54,25,14,51,20,8,11.456555542550978
