neighborhood,year_month,total_311_count,count_street_pavement,count_sidewalk_curb,count_sewer_drainage,count_streetlights,count_traffic_signs,count_trees,distinct_issue_groups,avg_closure_days,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Hayes Valley,2025-10,172,24,15,38,6,48,12,8,11.652243284345392,6,3,1,1,1,0,7.666666666666667
Hayes Valley,2025-11,114,17,15,18,5,32,8,8,12.748163409537856,6,1,1,4,0,0,4.0
Hayes Valley,2025-12,119,10,11,26,10,34,10,8,8.131864602950408,5,1,1,1,2,0,4.2
Inner Richmond,2024-01,49,7,2,29,0,5,6,5,18.930571617535904,5,1,1,2,1,0,1.4
Inner Richmond,2024-02,55,4,3,27,0,5,16,5,9.478131102693602,15,2,11,1,1,0,1.8666666666666667
Inner Richmond,2024-03,26,2,7,4,0,10,3,5,11.345031606125357,4,0,3,0,1,0,1.0
Inner Richmond,2024-04,25,2,7,7,0,5,4,5,4.646318055555555,6,0,3,1,2,0,1.3333333333333333
Inner Richmond,2024-05,20,5,4,6,0,4,1,5,5.379474537037037,1,0,1,0,0,0,1.0
Inner Richmond,2024-06,38,4,5,8,0,2,3,7,22.300430677387915,5,0,3,2,0,0,2.0
Inner Richmond,2024-07,55,10,12,9,2,6,5,8,21.518134890572387,3,0,2,0,1,0,1.0
Inner Richmond,2024-08,70,12,13,20,3,8,4,9,25.354570436507938,5,0,2,2,1,0,1.2
Inner Richmond,2024-09,72,9,2,13,4,11,6,9,41.7693666409465,5,1,3,0,1,0,2.6
Inner Richmond,2024-10,90,12,14,20,2,13,3,8,21.513813462338746,4,3,1,0,0,0,6.75
Inner Richmond,2024-11,94,8,6,33,7,11,4,8,11.757990944240943,7,3,3,1,0,0,4.714285714285714
Inner Richmond,2024-12,73,5,10,28,3,9,5,8,21.833680238457635,8,0,5,1,2,0,1.375
Inner Richmond,2025-01,58,10,5,17,2,10,4,8,19.34415030332056,2,1,1,0,0,0,1.0
Inner Richmond,2025-02,65,7,9,17,1,9,7,8,38.395115559895835,7,0,5,1,1,0,1.4285714285714286
Inner Richmond,2025-03,60,13,11,9,1,11,2,8,38.555814429012344,2,1,1,0,0,1,6.0
Inner Richmond,2025-04,73,8,14,15,4,6,9,8,20.85951087645865,3,2,0,0,1,0,6.333333333333333
Inner Richmond,2025-05,71,6,16,21,1,9,7,7,8.023193140323421,1,0,0,0,1,0,1.0
Inner Richmond,2025-06,90,7,12,13,1,8,6,8,8.789452417695474,7,1,5,0,1,2,6.142857142857143
Inner Richmond,2025-07,98,12,14,12,1,24,10,8,24.122087390225275,3,0,1,0,2,0,1.0
Inner Richmond,2025-08,88,5,38,21,1,8,3,8,27.40158236005892,2,0,1,0,1,0,1.0
Inner Richmond,2025-09,103,9,24,12,0,12,5,7,16.72917417750197,1,0,0,1,0,0,3.0
Inner Richmond,2025-10,58,15,4,19,1,9,2,8,10.22399112654321,8,1,5,0,2,0,2.125
Inner Richmond,2025-11,91,11,14,37,2,18,3,8,8.424492691427384,4,0,3,0,1,0,1.0
Inner Richmond,2025-12,86,3,27,26,0,11,5,7,16.101078138458224,5,0,5,0,0,0,1.0
Inner Sunset,2024-01,69,19,12,19,0,10,9,5,7.025259494095545,3,0,2,0,1,0,2.0
Inner Sunset,2024-02,92,12,9,27,0,15,29,5,9.328671749194848,11,1,8,2,0,0,1.5454545454545454
Inner Sunset,2024-03,49,12,6,13,0,17,1,5,9.401624149659865,7,0,2,3,2,0,1.8571428571428572
Inner Sunset,2024-04,31,2,6,3,0,15,5,5,8.208962066905615,6,0,3,1,2,0,1.3333333333333333
Inner Sunset,2024-05,56,16,22,9,0,8,1,5,4.419058573082011,3,1,2,0,0,0,4.0
Inner Sunset,2024-06,43,12,7,6,0,7,9,6,22.239209931657847,4,0,3,0,1,0,1.25
Inner Sunset,2024-07,73,10,11,22,1,6,10,8,21.668487815072016,1,0,1,0,0,0,1.0
Inner Sunset,2024-08,70,2,14,12,6,10,9,8,28.42851603835979,6,0,5,0,1,0,1.0
Inner Sunset,2024-09,84,7,20,14,5,10,5,8,44.18590126212522,3,0,0,1,2,0,1.6666666666666667
Inner Sunset,2024-10,116,10,31,24,5,22,15,8,47.34657347020934,5,2,1,0,2,0,7.2
Inner Sunset,2024-11,109,10,23,31,7,11,15,8,22.19471364883402,7,1,2,3,1,0,2.7142857142857144
Inner Sunset,2024-12,99,17,20,22,7,10,13,8,33.018231855592965,6,1,2,1,2,0,4.5
Inner Sunset,2025-01,87,9,23,20,2,13,9,8,37.344209194659776,3,0,1,2,0,0,1.6666666666666667
Inner Sunset,2025-02,98,12,28,15,1,20,12,8,36.93487769663994,11,2,8,0,1,0,1.7272727272727273
Inner Sunset,2025-03,96,12,25,22,2,18,9,8,21.9876936246142,6,2,2,0,2,0,2.8333333333333335
Inner Sunset,2025-04,113,20,25,20,2,22,9,8,23.072217055224865,2,0,2,0,0,0,2.0
Inner Sunset,2025-05,111,18,22,19,4,24,10,9,21.112954786782193,7,1,3,0,3,0,2.2857142857142856
Inner Sunset,2025-06,108,12,23,15,3,17,10,8,12.213187783892383,7,0,6,1,0,0,3.2857142857142856
Inner Sunset,2025-07,140,18,13,21,6,64,7,8,13.098901628697043,2,0,0,0,2,0,1.0
Inner Sunset,2025-08,128,28,13,22,2,32,12,8,19.44325056951793,4,0,3,0,1,0,1.25
Inner Sunset,2025-09,104,19,12,21,1,30,5,8,10.732883613782052,5,0,1,1,3,0,1.2
Inner Sunset,2025-10,109,15,20,31,2,15,6,9,9.624567299524294,3,0,2,0,1,0,2.3333333333333335
Inner Sunset,2025-11,123,20,15,25,8,37,6,8,14.49976823391014,3,0,0,1,2,0,2.0
Inner Sunset,2025-12,128,14,13,43,9,21,13,8,6.838818721064815,8,1,7,0,0,0,3.125
Japantown,2024-01,17,0,8,5,0,3,1,4,8.070119144880174,0,0,0,0,0,0,
Japantown,2024-02,23,0,3,6,0,4,10,4,4.699237620772947,2,0,1,0,1,0,1.0
Japantown,2024-03,11,1,3,1,0,5,1,5,20.122381102693602,1,0,1,0,0,0,1.0
Japantown,2024-04,7,0,2,1,0,4,0,3,22.614454365079364,0,0,0,0,0,0,
Japantown,2024-05,4,1,0,1,0,2,0,3,13.496096643518518,1,1,0,0,0,0,20.0
Japantown,2024-06,9,0,0,0,0,1,4,3,13.149329989711934,2,1,0,1,0,0,2.5
Japantown,2024-07,20,2,2,2,0,0,2,6,28.735199074074075,2,1,0,0,1,0,1.0
Japantown,2024-08,34,1,15,0,0,7,5,6,16.961309232026142,0,0,0,0,0,0,
Japantown,2024-09,22,5,7,0,0,1,0,4,16.151909196127946,1,0,0,1,0,0,3.0
Japantown,2024-10,28,0,11,0,1,4,2,5,5.251270667989417,0,0,0,0,0,0,
Japantown,2024-11,32,2,4,5,0,1,3,7,11.516398596176822,1,0,0,1,0,0,3.0
Japantown,2024-12,25,0,4,7,0,4,3,6,15.942923611111112,1,0,0,0,1,0,4.0
Japantown,2025-01,26,0,6,2,2,3,2,7,2.7073321759259263,1,0,0,1,0,0,1.0
Japantown,2025-02,22,0,8,3,1,3,4,7,28.699301346801345,1,0,0,1,0,0,3.0
Japantown,2025-03,21,1,2,2,1,5,1,8,19.208337742504412,1,0,1,0,0,0,1.0
Japantown,2025-04,19,1,4,1,1,2,0,7,4.053582480506822,2,0,1,0,1,0,2.0
Japantown,2025-05,21,1,2,2,0,5,0,6,3.9350144675925924,0,0,0,0,0,0,
Japantown,2025-06,20,0,2,0,1,2,0,5,5.647999421296296,0,0,0,0,0,0,
Japantown,2025-07,20,3,4,1,0,4,1,6,16.296547880116957,0,0,0,0,0,0,
Japantown,2025-08,37,4,5,4,1,5,5,8,27.6578612987988,0,0,0,0,0,0,
Japantown,2025-09,27,5,6,3,1,3,1,7,19.959467592592596,0,0,0,0,0,0,
Japantown,2025-10,28,1,6,9,0,1,0,6,6.324057126322751,1,0,0,1,0,0,3.0
Japantown,2025-11,13,1,1,2,1,0,0,6,8.045413105413106,0,0,0,0,0,0,
Japantown,2025-12,39,2,3,12,1,4,2,8,3.637356731731732,0,0,0,0,0,0,
Lakeshore,2024-01,7,1,1,1,0,2,2,5,22.6918253968254,5,1,2,0,2,0,3.0
Lakeshore,2024-02,32,12,2,1,0,12,5,5,10.792119502314815,3,0,3,0,0,0,1.6666666666666667
Lakeshore,2024-03,13,2,3,5,0,1,2,5,8.903600427350428,2,0,0,0,2,0,2.0
Lakeshore,2024-04,15,3,0,2,0,10,0,3,16.48488040123457,2,0,0,1,1,0,1.0
Lakeshore,2024-05,7,2,0,0,0,3,2,3,15.145747354497354,4,0,0,1,3,0,1.5
Lakeshore,2024-06,11,3,1,0,0,3,1,5,5.738896254208755,2,1,0,0,1,0,4.5
Lakeshore,2024-07,20,1,1,1,1,11,3,7,23.475122685185188,1,1,0,0,0,0,3.0
Lakeshore,2024-08,36,1,21,4,3,6,1,6,42.61157600308642,1,0,0,0,1,0,1.0
Lakeshore,2024-09,17,3,1,4,2,1,1,8,49.060812908496736,3,1,0,1,1,0,4.333333333333333
Lakeshore,2024-10,29,6,3,2,5,8,1,7,42.28581098339719,1,0,1,0,0,0,1.0
Lakeshore,2024-11,20,0,1,9,1,2,3,6,28.225114583333333,5,0,0,3,2,0,1.8
Lakeshore,2024-12,25,3,4,3,2,6,3,8,30.337013406635805,1,1,0,0,0,0,9.0
Lakeshore,2025-01,35,12,3,0,6,7,3,7,29.648036044973548,0,0,0,0,0,0,
Lakeshore,2025-02,32,4,10,3,2,9,2,7,18.565266927083332,0,0,0,0,0,0,
Lakeshore,2025-03,54,20,10,2,0,9,4,8,6.4899599194101505,3,0,0,1,2,0,1.3333333333333333
Lakeshore,2025-04,24,9,4,0,1,5,0,5,14.745540123456792,2,1,1,0,0,0,4.5
Lakeshore,2025-05,33,8,22,0,1,2,0,4,32.487331814236114,3,1,0,0,2,0,1.6666666666666667
Lakeshore,2025-06,16,2,5,2,1,3,0,7,13.010397858796296,1,0,0,1,0,0,1.0
Lakeshore,2025-07,29,3,16,1,1,2,5,7,25.838957136015324,5,1,1,0,3,0,2.6
Lakeshore,2025-08,31,12,6,0,2,8,1,6,30.122570937873355,4,2,0,1,1,0,4.5
Lakeshore,2025-09,35,10,4,2,4,11,0,7,15.625715209694988,1,0,1,0,0,0,1.0
Lakeshore,2025-10,53,15,9,2,8,10,1,8,14.525297587250712,2,1,0,0,1,0,7.0
Lakeshore,2025-11,19,0,4,0,1,7,2,7,10.447903163580246,2,1,0,0,1,0,5.0
Lakeshore,2025-12,33,2,9,7,2,4,3,9,12.243656705948373,5,1,1,2,1,0,3.6
Lincoln Park,2024-01,1,1,0,0,0,0,0,1,36.02361111111111,0,0,0,0,0,0,
Lincoln Park,2024-02,2,0,1,0,0,0,1,2,9.807488425925925,0,0,0,0,0,0,
Lincoln Park,2024-03,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-04,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-05,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-06,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-08,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-09,1,1,0,0,0,0,0,1,221.6754398148148,0,0,0,0,0,0,
Lincoln Park,2024-10,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2024-11,3,0,0,0,0,3,0,1,6.798927469135802,0,0,0,0,0,0,
Lincoln Park,2024-12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2025-01,2,1,0,1,0,0,0,2,3.9942824074074075,0,0,0,0,0,0,
Lincoln Park,2025-02,1,0,0,1,0,0,0,1,1.021400462962963,0,0,0,0,0,0,
Lincoln Park,2025-03,6,0,0,0,0,2,3,3,10.245007716049383,0,0,0,0,0,0,
Lincoln Park,2025-04,1,0,0,1,0,0,0,1,26.168078703703703,0,0,0,0,0,0,
Lincoln Park,2025-05,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,9.0
Lincoln Park,2025-06,5,0,4,0,0,1,0,2,5.79394212962963,1,0,1,0,0,0,1.0
Lincoln Park,2025-07,1,0,1,0,0,0,0,1,5.5701273148148145,0,0,0,0,0,0,
Lincoln Park,2025-08,1,0,0,0,0,0,0,1,4.063055555555556,0,0,0,0,0,0,
Lincoln Park,2025-09,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
Lincoln Park,2025-10,2,0,0,2,0,0,0,1,0.7087731481481482,0,0,0,0,0,0,
Lincoln Park,2025-11,4,0,0,1,1,1,1,4,50.49106481481481,0,0,0,0,0,0,
Lincoln Park,2025-12,1,0,0,1,0,0,0,1,0.21729166666666666,0,0,0,0,0,0,
Lone Mountain/USF,2024-01,32,6,3,8,0,12,3,5,12.930847800925926,8,2,2,2,2,0,3.125
Lone Mountain/USF,2024-02,41,4,2,5,0,17,13,5,10.125128443992773,2,0,2,0,0,0,1.0
Lone Mountain/USF,2024-03,61,8,7,3,0,37,6,5,8.153552671523984,4,0,1,2,1,0,2.0
Lone Mountain/USF,2024-04,33,8,3,1,0,16,5,5,6.759651024130191,1,0,0,0,1,0,3.0
Lone Mountain/USF,2024-05,24,5,5,1,0,11,2,5,9.089424672067901,5,0,2,2,1,0,3.2
Lone Mountain/USF,2024-06,12,2,2,2,0,2,2,7,15.269261188271601,4,0,3,1,0,0,1.5
Lone Mountain/USF,2024-07,34,2,10,7,2,4,5,8,14.887896241830065,1,0,0,1,0,0,2.0
Lone Mountain/USF,2024-08,45,3,10,9,1,5,9,8,43.072619598765435,8,0,5,3,0,0,3.5
Lone Mountain/USF,2024-09,37,7,6,4,2,7,6,8,41.20246362433862,3,1,1,0,1,0,4.333333333333333
Lone Mountain/USF,2024-10,37,4,10,7,1,8,2,8,52.020703042328044,2,0,1,0,1,0,1.5
Lone Mountain/USF,2024-11,63,6,18,17,1,6,9,8,32.63511872759857,6,1,1,2,2,0,3.1666666666666665
Lone Mountain/USF,2024-12,51,2,16,10,1,7,9,8,30.519549745824254,1,0,0,1,0,0,3.0
Lone Mountain/USF,2025-01,37,6,11,6,3,3,3,8,46.38943568568568,4,0,3,1,0,0,1.75
Lone Mountain/USF,2025-02,83,5,16,14,4,27,10,8,23.92438996160795,4,3,0,1,0,0,7.5
Lone Mountain/USF,2025-03,51,0,17,8,3,12,5,7,43.151217774146694,3,0,2,1,0,0,2.3333333333333335
Lone Mountain/USF,2025-04,46,5,9,2,0,16,5,7,32.822549639917696,2,0,0,1,1,0,2.0
Lone Mountain/USF,2025-05,69,9,15,8,1,25,6,8,17.884253121492705,2,1,0,1,0,0,6.0
Lone Mountain/USF,2025-06,47,7,7,4,0,20,2,7,10.76106653861308,4,1,2,1,0,0,2.0
Lone Mountain/USF,2025-07,65,16,10,6,4,24,3,7,16.280638354700855,4,1,1,2,0,0,4.0
Lone Mountain/USF,2025-08,41,11,7,3,0,12,4,8,28.374657012195126,3,0,0,0,3,0,1.0
Lone Mountain/USF,2025-09,38,10,6,6,0,7,2,7,12.14745674951267,1,1,0,0,0,0,11.0
Lone Mountain/USF,2025-10,63,9,5,16,3,14,6,8,16.164951090203107,3,0,1,2,0,0,2.3333333333333335
Lone Mountain/USF,2025-11,58,6,3,11,1,28,1,8,13.00730922733078,3,0,0,2,1,0,2.0
Lone Mountain/USF,2025-12,56,4,7,22,1,11,4,8,9.622497933201059,3,1,0,1,1,0,2.3333333333333335
Marina,2024-01,53,4,4,23,0,12,10,5,10.504507119147448,11,3,2,3,3,0,1.7272727272727273
Marina,2024-02,92,11,6,43,0,16,16,5,4.862638511473429,5,0,4,1,0,0,3.8
Marina,2024-03,42,4,12,11,0,10,5,5,8.952119157848324,6,0,0,2,4,0,1.6666666666666667
Marina,2024-04,20,1,10,2,0,6,1,5,8.637265625000001,3,0,0,1,2,0,2.0
Marina,2024-05,14,4,0,2,0,7,1,4,4.6648660714285715,9,1,2,3,3,0,4.0
Marina,2024-06,47,12,8,7,3,4,5,8,23.627210133744857,6,0,2,1,3,0,3.1666666666666665
Marina,2024-07,66,4,14,10,3,4,10,8,26.985756054131052,8,0,0,4,4,0,2.0
Marina,2024-08,58,1,17,5,2,2,12,9,28.781989725471085,5,1,0,2,2,0,2.8
Marina,2024-09,80,4,13,15,4,9,7,8,18.98403197337963,6,0,2,2,2,0,1.0
Marina,2024-10,99,10,12,17,12,3,10,9,23.516381566515495,1,0,1,0,0,0,1.0
Marina,2024-11,92,7,6,29,4,10,12,8,10.977172237484737,6,0,2,2,2,0,2.0
Marina,2024-12,94,7,9,24,11,14,15,8,19.957521367521366,9,0,2,4,3,0,2.4444444444444446
Marina,2025-01,73,10,16,17,5,3,8,8,30.88194380144033,7,1,2,3,1,0,4.857142857142857
Marina,2025-02,91,11,13,31,7,7,12,8,18.36069365530303,3,1,1,0,1,0,3.3333333333333335
Marina,2025-03,108,8,20,29,2,15,15,8,28.98981577932099,8,1,1,2,4,0,2.875
Marina,2025-04,108,8,40,15,2,14,13,8,41.18417493386243,4,0,1,1,2,0,1.25
Marina,2025-05,135,6,69,17,4,17,7,8,43.20522848079561,3,0,2,1,0,0,1.6666666666666667
Marina,2025-06,110,9,42,8,3,13,8,9,32.931078512572206,7,2,2,0,3,0,1.7142857142857142
Marina,2025-07,93,8,25,19,4,9,10,8,27.066367250402575,4,0,1,1,2,0,1.5
Marina,2025-08,129,24,29,19,7,15,5,8,20.97992965834051,7,1,2,0,4,0,2.7142857142857144
Marina,2025-09,79,11,10,13,0,16,11,7,21.505828222703222,3,0,1,0,2,0,1.0
Marina,2025-10,130,25,28,38,2,11,10,9,12.701040410565605,10,2,3,1,4,4,5.0
Marina,2025-11,109,13,44,23,7,9,6,8,13.75354283469249,4,0,1,0,3,0,2.0
Marina,2025-12,132,16,31,47,2,5,13,8,8.210267450142451,5,2,0,0,3,0,4.6
McLaren Park,2024-01,5,2,0,0,0,0,3,2,6.919990740740741,0,0,0,0,0,0,
McLaren Park,2024-02,7,2,0,0,0,0,5,2,15.077184193121692,0,0,0,0,0,0,
McLaren Park,2024-03,7,2,0,2,0,1,2,4,16.015978835978835,1,0,1,0,0,0,2.0
McLaren Park,2024-04,4,1,0,0,0,1,2,3,8.841021412037037,0,0,0,0,0,0,
McLaren Park,2024-05,5,0,1,2,0,2,0,3,8.159425925925927,1,0,0,0,1,0,1.0
McLaren Park,2024-06,7,0,4,0,0,2,1,3,43.5940625,0,0,0,0,0,0,
McLaren Park,2024-07,7,1,2,1,0,1,1,6,80.79132936507936,1,1,0,0,0,0,1.0
McLaren Park,2024-08,7,2,3,1,0,0,1,4,49.98146825396826,2,1,0,1,0,0,7.0
McLaren Park,2024-09,3,0,0,1,0,1,1,3,16.52864197530864,1,0,0,0,1,0,3.0
McLaren Park,2024-10,2,0,1,0,0,0,1,2,0.5783449074074074,0,0,0,0,0,0,
McLaren Park,2024-11,2,2,0,0,0,0,0,1,,0,0,0,0,0,0,
McLaren Park,2024-12,16,1,8,0,1,2,3,6,19.293157552083333,0,0,0,0,0,0,
McLaren Park,2025-01,13,4,7,0,0,0,2,3,39.63005698005698,0,0,0,0,0,0,
McLaren Park,2025-02,27,4,17,2,1,2,1,6,7.193845164609053,2,0,2,0,0,0,1.0
McLaren Park,2025-03,9,2,1,2,1,0,3,5,38.13102237654321,0,0,0,0,0,0,
McLaren Park,2025-04,7,1,0,1,0,1,4,4,48.01362433862433,0,0,0,0,0,0,
McLaren Park,2025-05,5,1,0,0,0,1,2,4,23.962229166666667,1,0,1,0,0,0,1.0
McLaren Park,2025-06,8,1,1,0,1,3,2,5,11.52787037037037,0,0,0,0,0,0,
McLaren Park,2025-07,4,1,0,2,0,0,1,3,15.11662037037037,0,0,0,0,0,0,
McLaren Park,2025-08,4,1,0,1,0,0,2,3,22.464678819444444,1,0,0,0,1,0,1.0
McLaren Park,2025-09,2,0,0,2,0,0,0,1,2.4975868055555557,1,0,0,1,0,0,3.0
McLaren Park,2025-10,7,0,3,3,1,0,0,3,20.522761243386242,0,0,0,0,0,0,
McLaren Park,2025-11,3,0,0,1,2,0,0,2,0.8841358024691358,0,0,0,0,0,0,
McLaren Park,2025-12,6,1,0,1,1,2,1,5,17.27511574074074,0,0,0,0,0,0,
Mission,2024-01,251,22,44,76,0,73,36,5,14.797787876272686,14,1,6,3,4,0,2.357142857142857
Mission,2024-02,296,39,38,76,0,68,75,5,14.867002588526026,19,2,8,3,6,0,1.736842105263158
Mission,2024-03,197,35,38,25,0,82,17,5,12.034902413517578,30,12,8,4,6,8,6.133333333333334
Mission,2024-04,195,25,34,16,0,106,14,5,6.956965930674264,14,4,5,4,1,0,3.2142857142857144
Mission,2024-05,181,25,45,33,0,62,16,5,3.9518989794352364,15,3,4,3,5,0,3.3333333333333335
Mission,2024-06,197,24,42,17,9,51,19,8,23.89618566001899,16,1,6,5,4,0,2.0
Mission,2024-07,300,19,72,54,19,57,29,8,31.31734561428039,19,5,5,1,8,0,2.0526315789473686
Mission,2024-08,302,30,52,54,22,52,31,9,26.800583419067216,21,0,10,4,7,0,1.5238095238095237
Mission,2024-09,280,20,57,71,23,33,20,9,19.368681758595514,25,4,3,10,8,0,2.56
Mission,2024-10,276,21,61,41,25,45,14,8,25.254252815086147,18,2,8,3,5,0,2.6666666666666665
Mission,2024-11,327,20,75,81,21,37,31,9,24.446817310474536,23,2,10,2,9,0,2.4347826086956523
Mission,2024-12,479,17,94,63,38,74,111,8,25.82753885933806,35,5,15,10,5,0,2.2857142857142856
Mission,2025-01,355,30,101,40,16,93,18,9,22.85383744855967,26,1,7,8,10,0,2.0
Mission,2025-02,464,26,78,68,19,178,26,8,22.099416526070538,23,5,5,6,7,0,2.869565217391304
Mission,2025-03,500,27,117,51,19,189,28,8,21.523903630114017,17,4,5,4,4,0,3.0588235294117645
Mission,2025-04,507,26,131,39,19,182,31,8,25.001154324055666,12,4,1,2,5,0,3.0833333333333335
Mission,2025-05,569,33,164,50,17,168,35,9,16.97393573034085,17,4,6,4,3,0,4.0
Mission,2025-06,554,36,153,62,9,153,37,9,16.537747490875912,16,3,5,4,4,0,2.9375
Mission,2025-07,462,69,106,22,14,131,28,8,15.046998677248677,23,3,11,4,5,0,2.391304347826087
Mission,2025-08,529,71,81,45,28,163,38,8,10.52380034051909,17,2,6,1,8,0,2.0
Mission,2025-09,463,69,52,42,33,155,23,8,12.057857757922037,6,1,2,2,1,0,1.6666666666666667
Mission,2025-10,493,67,71,89,17,149,35,9,9.606229535695116,16,5,2,4,5,0,2.4375
Mission,2025-11,345,36,37,59,18,109,30,8,8.790890046296296,17,3,5,6,3,0,3.5294117647058822
Mission,2025-12,458,51,83,94,23,104,37,8,8.500627569190069,16,3,7,3,3,0,2.5625
Mission Bay,2024-01,22,1,6,4,0,10,1,5,9.581548821548822,2,0,0,0,2,0,1.5
Mission Bay,2024-02,34,9,5,9,0,6,5,5,5.304140114379085,2,0,0,1,1,0,2.0
Mission Bay,2024-03,24,5,4,5,0,6,4,5,13.783625578703704,4,0,1,2,1,0,2.5
Mission Bay,2024-04,19,2,6,4,0,5,2,5,9.43942921539961,3,1,0,0,2,0,2.3333333333333335
Mission Bay,2024-05,16,4,8,1,0,2,1,5,3.7912572337962964,4,0,0,3,1,0,2.25
Mission Bay,2024-06,34,2,8,1,0,5,6,7,19.84468409586057,2,1,0,0,1,0,1.5
Mission Bay,2024-07,50,5,4,5,5,11,2,8,17.139749305555554,0,0,0,0,0,0,
Mission Bay,2024-08,44,5,12,3,2,10,1,8,51.89210675064599,5,0,3,0,2,0,2.8
Mission Bay,2024-09,60,4,17,4,3,6,6,8,33.75345319365976,1,0,0,0,1,0,2.0
Mission Bay,2024-10,48,2,12,4,6,10,2,8,23.25243031442901,1,0,0,0,1,0,3.0
Mission Bay,2024-11,47,4,9,9,4,4,6,8,31.222547527580776,4,1,0,1,2,0,3.5
Mission Bay,2024-12,31,2,6,3,1,3,4,8,32.91723342293907,0,0,0,0,0,0,
Mission Bay,2025-01,57,6,6,5,26,4,4,8,14.036475999025342,3,1,0,1,1,0,2.6666666666666665
Mission Bay,2025-02,33,6,4,3,8,3,2,8,16.644083839699075,3,1,1,0,1,0,2.6666666666666665
Mission Bay,2025-03,34,4,9,2,4,5,1,7,29.18630140250545,6,2,2,0,2,0,2.6666666666666665
Mission Bay,2025-04,37,5,6,3,4,2,2,8,16.28411473973974,1,0,0,1,0,0,1.0
Mission Bay,2025-05,44,5,18,1,2,7,4,8,17.354258470117845,2,0,1,1,0,0,2.0
Mission Bay,2025-06,40,0,9,0,2,5,8,6,16.025944733796297,5,2,0,1,2,0,2.0
Mission Bay,2025-07,44,3,6,0,6,14,5,7,17.139999473905725,1,1,0,0,0,1,8.0
Mission Bay,2025-08,49,6,3,0,16,9,1,7,9.38133597883598,0,0,0,0,0,0,
Mission Bay,2025-09,49,2,2,3,5,14,4,8,15.09736111111111,1,0,0,1,0,0,1.0
Mission Bay,2025-10,68,11,13,3,2,16,6,8,12.009965107570807,2,1,0,0,1,0,4.5
Mission Bay,2025-11,39,5,7,5,5,5,1,8,10.870917319563153,2,1,0,0,1,0,5.0
Mission Bay,2025-12,59,8,5,11,3,13,1,8,9.101765046296297,0,0,0,0,0,0,
Nob Hill,2024-01,41,2,7,10,0,4,18,5,9.65829268292683,3,0,0,2,1,0,2.0
Nob Hill,2024-02,53,3,10,15,0,2,23,5,7.350773497554158,6,1,2,1,2,0,4.5
Nob Hill,2024-03,36,4,11,10,0,6,5,5,9.146756044238682,6,2,1,1,2,0,1.3333333333333333
Nob Hill,2024-04,27,1,9,4,0,8,5,5,6.813220593278464,9,2,3,1,3,0,2.7777777777777777
Nob Hill,2024-05,24,5,3,6,0,8,2,5,5.010442226080247,9,4,0,3,2,0,4.888888888888889
Nob Hill,2024-06,39,3,5,11,1,4,7,8,15.59795230263158,7,2,0,1,4,0,3.4285714285714284
Nob Hill,2024-07,52,0,11,7,5,6,12,7,24.292365117521367,3,1,0,1,1,0,1.6666666666666667
Nob Hill,2024-08,80,6,6,17,9,17,8,8,31.35615443969611,7,0,3,1,3,0,1.2857142857142858
Nob Hill,2024-09,110,15,36,11,6,13,5,8,37.06620561501869,4,0,0,0,4,0,1.0
Nob Hill,2024-10,81,2,31,13,7,7,5,8,22.436845993369914,9,2,1,2,4,0,1.8888888888888888
Nob Hill,2024-11,65,7,5,16,7,3,6,8,17.34462601273148,3,1,0,1,1,0,1.6666666666666667
Nob Hill,2024-12,89,8,18,28,5,6,1,8,18.43264322916667,6,0,1,2,3,0,1.5
Nob Hill,2025-01,87,7,14,17,11,19,4,8,26.452312686249467,8,2,0,3,3,0,1.5
Nob Hill,2025-02,85,14,13,12,7,9,6,8,16.63249400379295,3,0,0,3,0,0,3.0
Nob Hill,2025-03,110,16,20,19,6,16,7,8,21.435181923400673,7,0,0,4,3,0,1.5714285714285714
Nob Hill,2025-04,70,6,17,9,3,19,5,8,18.761671849087897,4,0,0,3,1,0,2.5
Nob Hill,2025-05,74,8,16,14,2,15,3,9,24.978863045408424,11,2,0,2,7,0,2.909090909090909
Nob Hill,2025-06,114,9,18,16,1,26,11,8,14.678350177744708,8,1,1,4,2,0,2.875
Nob Hill,2025-07,222,132,24,13,1,29,4,8,22.386077344546383,3,1,1,1,0,0,4.333333333333333
Nob Hill,2025-08,168,106,15,8,1,10,4,8,20.57270681768078,8,0,0,5,3,0,2.375
Nob Hill,2025-09,225,112,17,16,4,17,7,8,9.414075199331275,4,2,0,0,2,0,5.25
Nob Hill,2025-10,113,38,11,25,6,10,3,8,11.686765873015872,6,1,0,2,3,0,3.5
