neighborhood,year_month,total_311_count,count_street_pavement,count_sidewalk_curb,count_sewer_drainage,count_streetlights,count_traffic_signs,count_trees,distinct_issue_groups,avg_closure_days,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Financial District/South Beach,2025-01,116,11,38,13,10,19,3,9,25.28074989935588,6,1,0,1,4,0,1.3333333333333333
Financial District/South Beach,2025-02,108,19,20,14,15,23,4,8,27.77412480529595,5,1,0,1,3,0,3.8
Financial District/South Beach,2025-03,125,15,37,8,4,21,11,8,20.098048418209878,4,1,1,2,0,0,5.25
Financial District/South Beach,2025-04,89,16,25,8,7,20,1,8,35.306457506613754,7,2,1,1,3,0,1.8571428571428572
Financial District/South Beach,2025-05,123,11,33,8,24,19,5,8,19.050847608024693,3,1,0,1,1,0,4.666666666666667
Financial District/South Beach,2025-06,124,15,39,3,16,19,3,8,17.508823495370372,10,2,3,1,4,0,4.5
Financial District/South Beach,2025-07,233,81,19,16,19,45,10,8,24.210965126811594,5,1,1,1,2,0,2.4
Financial District/South Beach,2025-08,233,50,19,12,32,41,15,9,17.938386756024585,5,1,1,0,3,0,2.6
Financial District/South Beach,2025-09,239,46,26,11,16,59,10,8,15.32634744781858,6,1,1,2,2,0,4.0
Financial District/South Beach,2025-10,157,24,20,11,11,41,3,8,13.694761220217032,3,0,1,0,2,0,1.6666666666666667
Financial District/South Beach,2025-11,164,20,35,7,9,40,7,8,15.500143417874394,2,0,1,1,0,0,2.0
Financial District/South Beach,2025-12,190,19,19,21,30,55,8,8,7.635740242931103,7,1,2,0,4,0,2.4285714285714284
Glen Park,2024-01,24,3,2,12,0,2,5,5,28.046580825617283,3,0,2,1,0,0,1.3333333333333333
Glen Park,2024-02,45,2,2,13,0,6,22,5,14.377581275720164,5,1,2,0,2,0,2.6
Glen Park,2024-03,26,9,1,6,0,6,4,5,4.582893073361823,1,0,1,0,0,0,1.0
Glen Park,2024-04,19,3,2,0,0,8,6,4,6.014519371345029,1,0,1,0,0,0,1.0
Glen Park,2024-05,19,3,3,5,0,5,3,5,5.049145955165692,3,0,0,1,2,0,1.3333333333333333
Glen Park,2024-06,28,2,5,7,2,3,8,7,30.97313492063492,2,0,0,0,2,0,2.5
Glen Park,2024-07,32,4,10,4,3,5,3,8,44.04466435185185,4,0,2,0,2,0,1.0
Glen Park,2024-08,43,4,10,7,1,6,8,8,48.99486164944013,1,0,0,1,0,0,3.0
Glen Park,2024-09,62,7,20,12,2,5,6,8,35.054481593488646,3,0,2,1,0,0,1.3333333333333333
Glen Park,2024-10,38,3,7,8,2,3,11,8,16.791091313352826,3,0,2,0,1,0,1.0
Glen Park,2024-11,46,6,8,17,1,1,9,8,21.199619633838385,2,1,0,1,0,0,6.0
Glen Park,2024-12,46,6,8,8,1,6,10,8,13.176212910353534,0,0,0,0,0,0,
Glen Park,2025-01,44,8,5,19,2,1,2,9,25.138101588804712,1,1,0,0,0,0,8.0
Glen Park,2025-02,59,8,13,16,4,4,8,8,15.54537056992337,3,0,0,3,0,0,2.3333333333333335
Glen Park,2025-03,31,2,6,4,1,4,6,8,30.570163966049385,1,0,1,0,0,0,1.0
Glen Park,2025-04,42,6,5,5,1,17,7,7,18.839079585537917,3,1,1,0,1,0,3.3333333333333335
Glen Park,2025-05,55,9,6,7,0,24,4,6,18.225215509259257,1,0,0,0,1,0,3.0
Glen Park,2025-06,42,4,7,3,1,15,7,8,23.47672012786596,3,0,1,0,2,0,1.0
Glen Park,2025-07,134,5,24,9,0,75,10,7,21.167737931156346,0,0,0,0,0,0,
Glen Park,2025-08,122,18,8,8,1,63,6,8,18.77938287416515,2,0,1,0,1,0,1.0
Glen Park,2025-09,78,23,9,9,3,18,5,8,23.402692010921175,0,0,0,0,0,0,
Glen Park,2025-10,73,15,10,14,5,11,6,8,13.872916032470828,3,0,3,0,0,0,1.0
Glen Park,2025-11,78,17,6,10,0,28,6,7,14.025117521367523,0,0,0,0,0,0,
Glen Park,2025-12,44,12,7,8,4,3,6,8,11.702743318602694,1,0,1,0,0,0,1.0
Golden Gate Park,2024-01,48,14,3,6,0,19,6,5,22.22974609375,1,0,0,0,1,0,1.0
Golden Gate Park,2024-02,51,22,2,4,0,10,13,5,21.20393405047204,2,0,1,0,1,0,1.0
Golden Gate Park,2024-03,16,5,2,1,0,7,1,5,46.879105179398145,3,1,1,0,1,0,1.0
Golden Gate Park,2024-04,20,2,4,8,0,6,0,4,19.485616319444443,0,0,0,0,0,0,
Golden Gate Park,2024-05,7,0,1,2,0,4,0,3,10.735684523809525,2,0,1,0,1,0,1.0
Golden Gate Park,2024-06,35,4,5,7,1,16,1,7,53.36754001322751,0,0,0,0,0,0,
Golden Gate Park,2024-07,37,2,7,4,9,8,7,6,101.57780937187187,0,0,0,0,0,0,
Golden Gate Park,2024-08,28,1,4,2,6,10,2,7,66.4833626818783,2,1,0,1,0,0,1.0
Golden Gate Park,2024-09,26,3,4,4,1,10,2,7,60.83910701566951,1,0,0,0,1,0,1.0
Golden Gate Park,2024-10,25,0,4,2,6,6,3,7,49.9182912037037,0,0,0,0,0,0,
Golden Gate Park,2024-11,45,2,0,6,14,13,8,7,22.128227588383837,3,0,3,0,0,0,1.0
Golden Gate Park,2024-12,62,3,8,13,5,22,9,8,25.957890103217974,5,0,3,0,2,0,1.4
Golden Gate Park,2025-01,31,6,8,6,3,3,3,8,45.5302740442055,0,0,0,0,0,0,
Golden Gate Park,2025-02,61,5,3,20,14,10,5,8,23.782436627200973,2,1,0,0,1,0,1.0
Golden Gate Park,2025-03,40,3,7,11,6,8,3,8,18.876429398148147,3,1,0,0,2,0,1.0
Golden Gate Park,2025-04,40,0,18,8,0,5,4,6,43.15544560185185,2,0,1,0,1,0,1.0
Golden Gate Park,2025-05,66,0,22,5,4,24,6,7,15.578398919753084,1,0,1,0,0,0,1.0
Golden Gate Park,2025-06,36,4,5,2,0,19,3,6,15.514644740226338,0,0,0,0,0,0,
Golden Gate Park,2025-07,62,3,4,9,3,30,4,8,8.198427823315118,3,1,1,0,1,0,2.0
Golden Gate Park,2025-08,53,3,3,7,1,24,12,8,9.78065928546471,1,0,0,1,0,0,1.0
Golden Gate Park,2025-09,42,1,13,3,6,14,4,7,13.822032238030712,3,0,2,1,0,0,1.6666666666666667
Golden Gate Park,2025-10,76,10,13,13,8,22,4,8,9.929328551413255,1,0,1,0,0,0,1.0
Golden Gate Park,2025-11,42,1,5,7,8,14,4,7,24.668529265873016,1,0,1,0,0,0,1.0
Golden Gate Park,2025-12,81,5,4,7,14,28,10,8,9.5698691129401,2,0,2,0,0,0,1.0
Haight Ashbury,2024-01,96,7,30,16,0,38,5,5,10.381904779128087,3,0,1,1,1,0,4.0
Haight Ashbury,2024-02,163,5,49,20,0,57,32,5,14.032258435582822,4,1,3,0,0,0,3.0
Haight Ashbury,2024-03,108,7,57,4,0,33,7,5,17.164385180898492,4,0,2,1,1,0,1.5
Haight Ashbury,2024-04,83,4,31,4,0,38,6,5,10.72937527889335,6,0,2,2,2,0,1.6666666666666667
Haight Ashbury,2024-05,61,6,10,7,0,29,9,5,5.029320165452338,5,2,0,2,1,0,4.8
Haight Ashbury,2024-06,36,2,13,6,0,5,4,7,25.143632330246916,7,2,5,0,0,0,3.2857142857142856
Haight Ashbury,2024-07,80,7,21,8,3,15,9,8,50.986244068287036,4,0,1,2,1,0,2.0
Haight Ashbury,2024-08,96,16,21,11,3,11,15,9,42.26349179964539,5,0,2,0,3,0,1.2
Haight Ashbury,2024-09,81,6,30,4,3,10,9,8,35.15364699074074,5,1,3,0,1,0,2.4
Haight Ashbury,2024-10,116,31,25,17,6,9,14,8,34.070570249597424,3,0,0,1,2,0,3.0
Haight Ashbury,2024-11,101,10,21,22,6,5,22,8,26.13441319444444,0,0,0,0,0,0,
Haight Ashbury,2024-12,103,8,21,28,5,17,12,8,22.342984749455336,7,0,3,1,3,0,1.1428571428571428
Haight Ashbury,2025-01,79,13,17,15,1,14,7,8,28.73291800213675,7,1,4,1,1,0,1.5714285714285714
Haight Ashbury,2025-02,135,9,31,23,2,47,11,8,33.987562830687835,4,0,1,1,2,0,1.5
Haight Ashbury,2025-03,163,10,65,6,1,55,11,8,42.22144154378144,7,0,4,3,0,0,1.8571428571428572
